AssessmentSK,code_module,code_presentation,id_assessment,assessment_type,date,weight,assessment_full_id
102,DDD,2014B,25361,Exam,241.0,100.0,DDD_2014B_25361
103,DDD,2014J,25362,TMA,20.0,5.0,DDD_2014J_25362
104,DDD,2014J,25363,TMA,41.0,10.0,DDD_2014J_25363
105,DDD,2014J,25364,TMA,62.0,10.0,DDD_2014J_25364
106,DDD,2014J,25365,TMA,111.0,25.0,DDD_2014J_25365
107,DDD,2014J,25366,TMA,146.0,25.0,DDD_2014J_25366
108,DDD,2014J,25367,TMA,195.0,25.0,DDD_2014J_25367
109,DDD,2014J,25368,Exam,,100.0,DDD_2014J_25368
110,EEE,2013J,30709,TMA,33.0,16.0,EEE_2013J_30709
111,EEE,2013J,30710,TMA,68.0,28.0,EEE_2013J_30710
112,EEE,2013J,30711,TMA,124.0,28.0,EEE_2013J_30711
113,EEE,2013J,30712,TMA,159.0,28.0,EEE_2013J_30712
114,EEE,2013J,30713,Exam,235.0,100.0,EEE_2013J_30713
115,EEE,2014B,30714,TMA,33.0,16.0,EEE_2014B_30714
116,EEE,2014B,30715,TMA,68.0,28.0,EEE_2014B_30715
117,EEE,2014B,30716,TMA,117.0,28.0,EEE_2014B_30716
118,EEE,2014B,30717,TMA,152.0,28.0,EEE_2014B_30717
119,EEE,2014B,30718,Exam,228.0,100.0,EEE_2014B_30718
120,EEE,2014J,30719,TMA,33.0,16.0,EEE_2014J_30719
121,EEE,2014J,30720,TMA,68.0,28.0,EEE_2014J_30720
122,EEE,2014J,30721,TMA,131.0,28.0,EEE_2014J_30721
123,EEE,2014J,30722,TMA,166.0,28.0,EEE_2014J_30722
124,EEE,2014J,30723,Exam,235.0,100.0,EEE_2014J_30723
125,FFF,2013B,34865,CMA,222.0,0.0,FFF_2013B_34865
126,FFF,2013B,34866,CMA,222.0,0.0,FFF_2013B_34866
127,FFF,2013B,34867,CMA,222.0,0.0,FFF_2013B_34867
128,FFF,2013B,34868,CMA,222.0,0.0,FFF_2013B_34868
129,FFF,2013B,34869,CMA,222.0,0.0,FFF_2013B_34869
130,FFF,2013B,34871,CMA,222.0,0.0,FFF_2013B_34871
131,FFF,2013B,34870,CMA,222.0,0.0,FFF_2013B_34870
132,FFF,2013B,34860,TMA,19.0,12.5,FFF_2013B_34860
133,FFF,2013B,34861,TMA,47.0,12.5,FFF_2013B_34861
134,FFF,2013B,34862,TMA,89.0,25.0,FFF_2013B_34862
135,FFF,2013B,34863,TMA,131.0,25.0,FFF_2013B_34863
136,FFF,2013B,34864,TMA,166.0,25.0,FFF_2013B_34864
137,FFF,2013B,34872,Exam,222.0,100.0,FFF_2013B_34872
138,FFF,2013J,34878,CMA,236.0,0.0,FFF_2013J_34878
139,FFF,2013J,34879,CMA,236.0,0.0,FFF_2013J_34879
140,FFF,2013J,34880,CMA,236.0,0.0,FFF_2013J_34880
141,FFF,2013J,34881,CMA,236.0,0.0,FFF_2013J_34881
142,FFF,2013J,34882,CMA,236.0,0.0,FFF_2013J_34882
143,FFF,2013J,34884,CMA,236.0,0.0,FFF_2013J_34884
144,FFF,2013J,34883,CMA,236.0,0.0,FFF_2013J_34883
145,FFF,2013J,34873,TMA,19.0,12.5,FFF_2013J_34873
146,FFF,2013J,34874,TMA,47.0,12.5,FFF_2013J_34874
147,FFF,2013J,34875,TMA,96.0,25.0,FFF_2013J_34875
148,FFF,2013J,34876,TMA,131.0,25.0,FFF_2013J_34876
149,FFF,2013J,34877,TMA,173.0,25.0,FFF_2013J_34877
150,FFF,2013J,34885,Exam,236.0,100.0,FFF_2013J_34885
151,FFF,2014B,34891,CMA,227.0,0.0,FFF_2014B_34891
152,FFF,2014B,34892,CMA,227.0,0.0,FFF_2014B_34892
153,FFF,2014B,34893,CMA,227.0,0.0,FFF_2014B_34893
154,FFF,2014B,34894,CMA,227.0,0.0,FFF_2014B_34894
155,FFF,2014B,34895,CMA,227.0,0.0,FFF_2014B_34895
156,FFF,2014B,34897,CMA,227.0,0.0,FFF_2014B_34897
157,FFF,2014B,34896,CMA,227.0,0.0,FFF_2014B_34896
158,FFF,2014B,34886,TMA,24.0,12.5,FFF_2014B_34886
159,FFF,2014B,34887,TMA,52.0,12.5,FFF_2014B_34887
160,FFF,2014B,34888,TMA,87.0,25.0,FFF_2014B_34888
161,FFF,2014B,34889,TMA,129.0,25.0,FFF_2014B_34889
162,FFF,2014B,34890,TMA,171.0,25.0,FFF_2014B_34890
163,FFF,2014B,34898,Exam,227.0,100.0,FFF_2014B_34898
164,FFF,2014J,34904,CMA,241.0,0.0,FFF_2014J_34904
165,FFF,2014J,34905,CMA,241.0,0.0,FFF_2014J_34905
166,FFF,2014J,34906,CMA,241.0,0.0,FFF_2014J_34906
167,FFF,2014J,34907,CMA,241.0,0.0,FFF_2014J_34907
168,FFF,2014J,34908,CMA,241.0,0.0,FFF_2014J_34908
169,FFF,2014J,34910,CMA,241.0,0.0,FFF_2014J_34910
170,FFF,2014J,34909,CMA,241.0,0.0,FFF_2014J_34909
171,FFF,2014J,34899,TMA,24.0,12.5,FFF_2014J_34899
172,FFF,2014J,34900,TMA,52.0,12.5,FFF_2014J_34900
173,FFF,2014J,34901,TMA,94.0,25.0,FFF_2014J_34901
174,FFF,2014J,34902,TMA,136.0,25.0,FFF_2014J_34902
175,FFF,2014J,34903,TMA,199.0,25.0,FFF_2014J_34903
176,FFF,2014J,34911,Exam,241.0,100.0,FFF_2014J_34911
177,GGG,2013J,37418,CMA,229.0,0.0,GGG_2013J_37418
178,GGG,2013J,37419,CMA,229.0,0.0,GGG_2013J_37419
179,GGG,2013J,37420,CMA,229.0,0.0,GGG_2013J_37420
180,GGG,2013J,37421,CMA,229.0,0.0,GGG_2013J_37421
181,GGG,2013J,37422,CMA,229.0,0.0,GGG_2013J_37422
182,GGG,2013J,37423,CMA,229.0,0.0,GGG_2013J_37423
183,GGG,2013J,37415,TMA,61.0,0.0,GGG_2013J_37415
184,GGG,2013J,37416,TMA,124.0,0.0,GGG_2013J_37416
185,GGG,2013J,37417,TMA,173.0,0.0,GGG_2013J_37417
186,GGG,2013J,37424,Exam,229.0,100.0,GGG_2013J_37424
187,GGG,2014B,37428,CMA,222.0,0.0,GGG_2014B_37428
188,GGG,2014B,37429,CMA,222.0,0.0,GGG_2014B_37429
189,GGG,2014B,37430,CMA,222.0,0.0,GGG_2014B_37430
190,GGG,2014B,37431,CMA,222.0,0.0,GGG_2014B_37431
191,GGG,2014B,37432,CMA,222.0,0.0,GGG_2014B_37432
192,GGG,2014B,37433,CMA,222.0,0.0,GGG_2014B_37433
193,GGG,2014B,37425,TMA,61.0,0.0,GGG_2014B_37425
194,GGG,2014B,37426,TMA,117.0,0.0,GGG_2014B_37426
195,GGG,2014B,37427,TMA,166.0,0.0,GGG_2014B_37427
196,GGG,2014B,37434,Exam,222.0,100.0,GGG_2014B_37434
197,GGG,2014J,37438,CMA,229.0,0.0,GGG_2014J_37438
198,GGG,2014J,37439,CMA,229.0,0.0,GGG_2014J_37439
199,GGG,2014J,37440,CMA,229.0,0.0,GGG_2014J_37440
200,GGG,2014J,37441,CMA,229.0,0.0,GGG_2014J_37441
201,GGG,2014J,37442,CMA,229.0,0.0,GGG_2014J_37442
202,GGG,2014J,37443,CMA,229.0,0.0,GGG_2014J_37443
203,GGG,2014J,37435,TMA,61.0,0.0,GGG_2014J_37435
204,GGG,2014J,37436,TMA,124.0,0.0,GGG_2014J_37436
205,GGG,2014J,37437,TMA,173.0,0.0,GGG_2014J_37437
206,GGG,2014J,37444,Exam,229.0,100.0,GGG_2014J_37444
