StudentSK,id_student,gender,age_band,highest_education,region,imd_band,num_of_prev_attempts,disability
186,386952,M,0-35,A Level or Equivalent,Yorkshire Region,70-80%,0,N
187,388722,F,35-55,Lower Than A Level,London Region,80-90%,0,N
188,388885,M,35-55,A Level or Equivalent,South West Region,90-100%,0,N
189,390890,M,0-35,A Level or Equivalent,Scotland,0-10%,0,N
190,392756,M,0-35,A Level or Equivalent,West Midlands Region,70-80%,0,N
191,392931,F,35-55,A Level or Equivalent,North Western Region,50-60%,0,N
192,393207,M,0-35,A Level or Equivalent,North Western Region,60-70%,0,N
193,396872,M,0-35,HE Qualification,Yorkshire Region,50-60%,0,N
194,398552,M,0-35,Lower Than A Level,Yorkshire Region,90-100%,0,N
195,401869,F,0-35,Lower Than A Level,South East Region,80-90%,0,N
196,402470,M,35-55,Lower Than A Level,South West Region,50-60%,0,N
197,404804,M,35-55,Lower Than A Level,Wales,20-30%,0,N
198,405088,M,0-35,A Level or Equivalent,North Region,20-30%,0,N
199,405961,M,0-35,A Level or Equivalent,Scotland,90-100%,0,Y
200,414117,M,0-35,A Level or Equivalent,Yorkshire Region,50-60%,0,N
201,415969,M,35-55,HE Qualification,West Midlands Region,0-10%,0,N
202,420087,M,0-35,A Level or Equivalent,Scotland,40-50%,0,Y
203,429958,F,0-35,A Level or Equivalent,North Western Region,70-80%,0,N
204,441018,F,0-35,A Level or Equivalent,South East Region,70-80%,0,N
205,441888,M,0-35,A Level or Equivalent,London Region,20-30%,0,N
206,442442,M,0-35,HE Qualification,South West Region,80-90%,0,N
207,444677,M,0-35,HE Qualification,London Region,30-40%,0,N
208,470588,M,35-55,HE Qualification,South East Region,90-100%,0,N
209,489455,F,0-35,A Level or Equivalent,South West Region,20-30%,0,N
210,494424,F,0-35,A Level or Equivalent,North Region,80-90%,0,N
211,495284,M,0-35,HE Qualification,South East Region,80-90%,0,N
212,498857,M,35-55,HE Qualification,North Western Region,80-90%,0,N
213,508818,M,0-35,A Level or Equivalent,London Region,40-50%,0,N
214,512460,M,0-35,HE Qualification,South East Region,90-100%,0,N
215,544103,M,0-35,HE Qualification,North Western Region,40-50%,0,N
216,550383,M,0-35,HE Qualification,South East Region,60-70%,0,N
217,564450,M,0-35,HE Qualification,West Midlands Region,80-90%,0,N
218,568601,F,0-35,HE Qualification,Scotland,30-40%,0,N
219,572652,M,0-35,HE Qualification,West Midlands Region,70-80%,0,N
220,580389,M,0-35,HE Qualification,Ireland,90-100%,0,N
221,581129,M,0-35,A Level or Equivalent,East Anglian Region,30-40%,0,N
222,588775,M,0-35,A Level or Equivalent,South West Region,90-100%,0,N
223,591774,M,35-55,Post Graduate Qualification,South Region,90-100%,0,N
224,603861,M,55<=,HE Qualification,North Region,Unknown,0,N
225,606143,M,35-55,Post Graduate Qualification,Scotland,90-100%,0,N
226,704156,M,55<=,HE Qualification,South Region,90-100%,0,N
227,705379,M,55<=,A Level or Equivalent,West Midlands Region,60-70%,0,N
228,721259,F,55<=,Lower Than A Level,South Region,50-60%,0,N
229,749412,M,55<=,Lower Than A Level,South Region,70-80%,0,N
230,760729,M,55<=,A Level or Equivalent,West Midlands Region,60-70%,0,N
231,905042,F,35-55,A Level or Equivalent,East Anglian Region,90-100%,0,N
232,949618,F,35-55,A Level or Equivalent,South West Region,50-60%,0,N
233,958987,M,35-55,HE Qualification,North Western Region,40-50%,0,N
234,968578,F,35-55,A Level or Equivalent,East Anglian Region,40-50%,0,N
235,969076,M,35-55,A Level or Equivalent,South West Region,80-90%,0,N
236,971027,F,35-55,HE Qualification,West Midlands Region,90-100%,0,N
237,978739,M,35-55,HE Qualification,South Region,90-100%,0,N
238,1035023,F,35-55,Lower Than A Level,London Region,30-40%,0,N
239,1105478,M,55<=,HE Qualification,Scotland,80-90%,0,N
240,1352868,M,35-55,A Level or Equivalent,Yorkshire Region,20-30%,0,N
241,1401935,M,35-55,A Level or Equivalent,West Midlands Region,70-80%,0,N
242,1402638,F,35-55,HE Qualification,East Midlands Region,30-40%,0,N
243,1414443,F,35-55,A Level or Equivalent,Yorkshire Region,10-20,0,N
244,1456619,M,35-55,A Level or Equivalent,South West Region,90-100%,0,N
245,1465690,M,35-55,HE Qualification,West Midlands Region,40-50%,0,N
246,1472925,F,35-55,Lower Than A Level,East Anglian Region,40-50%,0,Y
247,1488959,M,35-55,A Level or Equivalent,London Region,70-80%,0,N
248,1518989,F,35-55,Lower Than A Level,South East Region,80-90%,0,N
249,1618738,M,35-55,Lower Than A Level,London Region,90-100%,0,N
250,1620151,M,35-55,HE Qualification,South Region,90-100%,0,N
251,1626710,M,35-55,A Level or Equivalent,North Western Region,60-70%,0,N
252,1640609,M,35-55,A Level or Equivalent,West Midlands Region,30-40%,0,N
253,1686521,F,35-55,Lower Than A Level,North Western Region,50-60%,0,N
254,1729319,F,35-55,HE Qualification,Scotland,40-50%,0,N
255,1746134,M,35-55,A Level or Equivalent,East Anglian Region,60-70%,0,N
256,1758449,M,35-55,Lower Than A Level,South Region,30-40%,0,N
257,1763015,F,35-55,A Level or Equivalent,Scotland,10-20,0,N
258,1765788,M,55<=,HE Qualification,South East Region,70-80%,0,N
259,1801229,M,35-55,HE Qualification,Ireland,Unknown,0,N
260,1801641,M,35-55,A Level or Equivalent,Scotland,30-40%,0,N
261,1847830,M,35-55,Lower Than A Level,South West Region,40-50%,0,N
262,1860318,M,35-55,Lower Than A Level,South West Region,40-50%,0,Y
263,1889511,M,35-55,A Level or Equivalent,Yorkshire Region,50-60%,0,N
264,1889577,F,35-55,A Level or Equivalent,South Region,70-80%,0,Y
265,1894188,F,0-35,A Level or Equivalent,East Midlands Region,80-90%,0,N
266,1938355,M,35-55,A Level or Equivalent,South Region,90-100%,0,N
267,1942396,F,35-55,Lower Than A Level,East Anglian Region,40-50%,0,Y
268,1970390,M,35-55,Lower Than A Level,West Midlands Region,0-10%,0,N
269,1976139,M,35-55,Lower Than A Level,Ireland,50-60%,0,N
270,2011876,F,0-35,A Level or Equivalent,East Anglian Region,90-100%,0,Y
271,2012966,M,35-55,Lower Than A Level,North Western Region,30-40%,0,N
272,2051699,F,35-55,Lower Than A Level,South West Region,70-80%,0,N
273,2062879,F,0-35,A Level or Equivalent,East Anglian Region,60-70%,0,N
274,2065691,M,35-55,A Level or Equivalent,London Region,30-40%,0,Y
275,2073016,F,35-55,Lower Than A Level,London Region,30-40%,0,N
276,2080474,F,35-55,A Level or Equivalent,South Region,90-100%,0,N
277,2083877,F,0-35,A Level or Equivalent,West Midlands Region,0-10%,0,N
278,2084066,F,35-55,Lower Than A Level,South West Region,50-60%,0,N
279,2104505,M,35-55,Lower Than A Level,West Midlands Region,0-10%,0,N
280,2122180,F,35-55,Lower Than A Level,North Western Region,80-90%,0,N
281,2139353,M,35-55,A Level or Equivalent,London Region,50-60%,0,N
282,2143752,F,35-55,Lower Than A Level,South Region,70-80%,0,N
283,2146792,M,55<=,HE Qualification,North Western Region,20-30%,0,N
284,2149225,M,35-55,A Level or Equivalent,Scotland,70-80%,0,Y
285,2153153,F,0-35,A Level or Equivalent,Yorkshire Region,40-50%,0,N
286,2155014,F,0-35,Lower Than A Level,West Midlands Region,80-90%,0,Y
287,2164705,F,0-35,A Level or Equivalent,North Western Region,40-50%,0,N
288,2171627,F,35-55,A Level or Equivalent,Yorkshire Region,30-40%,0,N
289,2182846,F,35-55,A Level or Equivalent,London Region,70-80%,0,N
290,2194100,F,35-55,A Level or Equivalent,East Anglian Region,50-60%,0,N
291,2197016,F,35-55,HE Qualification,North Western Region,30-40%,0,N
292,2208424,M,0-35,A Level or Equivalent,Scotland,20-30%,0,N
293,2229865,F,35-55,A Level or Equivalent,West Midlands Region,10-20,0,N
294,2255601,F,35-55,A Level or Equivalent,South Region,80-90%,0,N
295,2268379,F,0-35,A Level or Equivalent,East Midlands Region,20-30%,0,N
296,2278464,M,35-55,Lower Than A Level,South Region,30-40%,0,N
297,2293923,M,0-35,A Level or Equivalent,South Region,90-100%,0,N
298,2312620,F,35-55,HE Qualification,East Midlands Region,20-30%,0,N
299,2318055,M,35-55,A Level or Equivalent,Wales,90-100%,0,N
300,2324976,F,35-55,HE Qualification,Scotland,90-100%,0,N
301,2329342,F,35-55,Lower Than A Level,East Anglian Region,40-50%,0,N
302,2339528,F,0-35,Lower Than A Level,London Region,40-50%,0,N
303,2342426,M,35-55,Lower Than A Level,Yorkshire Region,20-30%,0,N
304,2344901,F,0-35,A Level or Equivalent,Yorkshire Region,60-70%,0,N
305,2358056,F,0-35,HE Qualification,North Region,Unknown,0,N
306,2358969,F,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
307,2364471,F,0-35,HE Qualification,Scotland,90-100%,0,Y
308,2365101,M,0-35,HE Qualification,South East Region,20-30%,0,N
309,2367155,F,0-35,A Level or Equivalent,East Anglian Region,80-90%,0,N
310,2369266,F,35-55,Lower Than A Level,London Region,70-80%,0,N
311,2376496,F,0-35,A Level or Equivalent,East Midlands Region,20-30%,0,N
312,2391984,M,0-35,A Level or Equivalent,South Region,90-100%,0,N
313,2411661,F,0-35,A Level or Equivalent,South Region,80-90%,0,N
314,2411778,M,0-35,HE Qualification,Scotland,20-30%,0,N
315,2412002,M,35-55,Lower Than A Level,South West Region,50-60%,0,N
316,2412967,F,35-55,A Level or Equivalent,South Region,80-90%,0,N
317,2429854,M,35-55,A Level or Equivalent,London Region,10-20,0,Y
318,2437837,F,0-35,A Level or Equivalent,North Region,30-40%,0,N
319,2449878,F,0-35,A Level or Equivalent,East Midlands Region,30-40%,0,N
320,2456480,M,35-55,Lower Than A Level,Scotland,80-90%,0,N
321,2457256,M,35-55,Lower Than A Level,South Region,80-90%,0,N
322,2458355,M,35-55,Lower Than A Level,London Region,80-90%,0,N
323,2460080,M,55<=,HE Qualification,Scotland,90-100%,0,N
324,2461190,M,55<=,HE Qualification,South Region,70-80%,0,N
325,2469673,F,35-55,Lower Than A Level,Yorkshire Region,20-30%,0,N
326,2470694,F,55<=,HE Qualification,Scotland,50-60%,0,N
327,2479954,M,0-35,A Level or Equivalent,North Western Region,40-50%,0,N
328,2481901,M,35-55,Lower Than A Level,Wales,80-90%,0,N
329,2482700,M,0-35,Lower Than A Level,South Region,90-100%,0,N
330,2486127,F,0-35,HE Qualification,East Anglian Region,90-100%,0,N
331,2498700,F,0-35,Lower Than A Level,North Western Region,40-50%,0,N
332,2516503,M,35-55,HE Qualification,South East Region,40-50%,0,N
333,2518069,M,0-35,A Level or Equivalent,East Midlands Region,90-100%,0,N
334,2521459,F,0-35,Lower Than A Level,London Region,10-20,0,N
335,2523736,M,55<=,A Level or Equivalent,North Western Region,20-30%,0,N
336,2529279,F,35-55,HE Qualification,North Western Region,60-70%,0,N
337,2532302,F,0-35,A Level or Equivalent,East Anglian Region,80-90%,0,N
338,2536991,M,55<=,HE Qualification,South Region,90-100%,0,N
339,2542724,F,0-35,Lower Than A Level,West Midlands Region,40-50%,0,N
340,2550279,F,35-55,HE Qualification,North Region,Unknown,0,N
341,2551220,F,0-35,Lower Than A Level,South Region,90-100%,0,N
342,2552472,F,35-55,HE Qualification,South Region,80-90%,0,N
343,2555340,F,35-55,HE Qualification,South Region,90-100%,0,N
344,2557283,M,55<=,HE Qualification,Yorkshire Region,80-90%,0,N
345,2559575,M,0-35,Lower Than A Level,South West Region,30-40%,0,N
346,2562034,M,0-35,A Level or Equivalent,East Anglian Region,70-80%,0,N
347,2566163,F,0-35,A Level or Equivalent,South Region,80-90%,0,N
348,2566592,F,35-55,A Level or Equivalent,South Region,90-100%,0,N
349,2569324,M,0-35,A Level or Equivalent,South Region,90-100%,0,N
350,2574528,M,35-55,HE Qualification,Ireland,Unknown,0,N
351,2574583,M,35-55,Lower Than A Level,Yorkshire Region,70-80%,0,N
352,2576122,M,0-35,A Level or Equivalent,North Western Region,70-80%,0,N
353,2578995,F,0-35,A Level or Equivalent,West Midlands Region,10-20,0,Y
354,2586560,F,35-55,Lower Than A Level,East Anglian Region,80-90%,0,N
355,2594139,F,0-35,A Level or Equivalent,South West Region,50-60%,0,N
356,2598871,F,35-55,A Level or Equivalent,East Anglian Region,80-90%,0,N
357,2599352,F,0-35,A Level or Equivalent,Scotland,30-40%,0,N
358,2600688,M,0-35,A Level or Equivalent,West Midlands Region,20-30%,0,N
359,2606098,F,0-35,A Level or Equivalent,East Midlands Region,90-100%,0,N
360,2613116,F,35-55,Lower Than A Level,London Region,10-20,0,N
361,2617002,F,0-35,A Level or Equivalent,Yorkshire Region,80-90%,0,N
362,2620584,M,0-35,A Level or Equivalent,West Midlands Region,40-50%,0,Y
363,2639449,M,0-35,A Level or Equivalent,East Midlands Region,10-20,0,N
364,2639540,F,35-55,A Level or Equivalent,North Western Region,90-100%,0,N
365,2639641,M,35-55,Lower Than A Level,South East Region,30-40%,0,N
366,2641155,M,35-55,Lower Than A Level,East Midlands Region,50-60%,0,N
367,2643002,F,35-55,A Level or Equivalent,South West Region,80-90%,0,N
368,2645733,F,0-35,A Level or Equivalent,South West Region,40-50%,0,N
369,2649826,M,35-55,Lower Than A Level,East Anglian Region,60-70%,0,N
370,2650282,M,35-55,A Level or Equivalent,London Region,0-10%,0,N
371,2664024,M,35-55,HE Qualification,South East Region,90-100%,0,N
372,2666246,M,0-35,A Level or Equivalent,North Western Region,90-100%,0,N
373,2669816,M,0-35,A Level or Equivalent,Yorkshire Region,90-100%,0,N
374,2671132,M,55<=,HE Qualification,London Region,20-30%,0,N
375,2676809,F,0-35,HE Qualification,North Region,10-20,0,N
376,2678643,F,0-35,A Level or Equivalent,South Region,80-90%,0,N
377,2685865,F,0-35,Lower Than A Level,East Midlands Region,30-40%,0,N
378,2688067,M,0-35,A Level or Equivalent,East Anglian Region,10-20,0,N
379,2689958,M,35-55,A Level or Equivalent,East Anglian Region,40-50%,0,N
380,2691206,F,0-35,A Level or Equivalent,West Midlands Region,50-60%,0,N
381,2691244,M,35-55,A Level or Equivalent,South Region,40-50%,0,N
382,2694424,M,35-55,A Level or Equivalent,East Anglian Region,70-80%,0,N
383,2698257,M,0-35,Lower Than A Level,East Midlands Region,60-70%,0,N
384,6516,M,55<=,HE Qualification,Scotland,80-90%,0,N
385,24734,F,0-35,Lower Than A Level,South Region,60-70%,0,N
386,26192,F,35-55,A Level or Equivalent,East Anglian Region,60-70%,0,N
387,28061,M,35-55,Lower Than A Level,Yorkshire Region,40-50%,0,N
388,31600,F,0-35,A Level or Equivalent,South West Region,40-50%,0,N
389,46844,M,35-55,HE Qualification,North Region,30-40%,0,N
390,52765,F,35-55,Lower Than A Level,Yorkshire Region,0-10%,0,N
391,55104,F,0-35,A Level or Equivalent,West Midlands Region,60-70%,0,N
392,58071,M,55<=,HE Qualification,East Anglian Region,90-100%,0,N
393,58316,F,0-35,A Level or Equivalent,Wales,70-80%,0,N
