UserSK,CourseSK,DeviceSK,EnrollmentDateSK,CompletionDateSK,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,EngagementScore,CourseCompletion
58,4,2,573,638.0,31.21067472319168,4,8,72.95086263740637,94.8652576426956,0.4350450846527383,1
59,4,1,309,335.0,84.69650096837621,15,7,90.25993654537126,44.68531007614127,0.7651543305220182,1
60,2,2,43,,41.54232954759268,7,2,59.47520889482437,93.94135862944825,0.31983796934059383,0
61,2,2,251,331.0,3.52919271103881,13,9,85.73436748006172,5.514118167504456,0.5251618540875579,1
62,2,1,547,600.0,32.63535722496225,10,4,74.75876252080349,70.11965165777208,0.4065101046593353,1
63,2,2,119,168.0,49.57074401392171,10,10,77.69134096892444,18.701011306557454,0.6635368510996661,1
64,5,1,204,,80.15828576609829,2,5,79.2052751471904,19.13323340332496,0.46654062063312507,0
65,2,2,255,300.0,45.68233579025563,12,10,91.99174290445994,78.9148654932726,0.6837760713855725,1
66,4,2,711,,38.49037566996723,17,8,63.13736293025264,78.86536604091218,0.6762245586089822,0
67,2,1,459,,53.58868062990964,0,3,51.604869763345455,47.47055356057127,0.2770701420437303,0
68,1,1,16,34.0,56.17716140693022,9,8,97.27643294899131,32.06852075725271,0.6024509224679782,1
69,3,1,431,,9.858359915259324,8,9,60.66942413444698,25.490091204083157,0.46314197124787143,0
70,1,1,361,,5.971099024299701,14,9,60.650799169906406,38.471446170986056,0.5500513884324976,0
71,4,2,356,412.0,94.78114798588702,14,4,87.78225140011364,15.985817563272652,0.6824481001394361,1
72,4,1,115,122.0,56.227531063889344,18,0,96.62762883560018,64.02928474191076,0.48595578878921714,1
73,1,1,507,,96.932283386797,2,4,59.31723336318424,27.12688424166274,0.48969290016233186,0
74,1,1,329,361.0,53.218189908451485,3,7,97.00846595291436,93.15020403256344,0.4591542901187524,1
75,3,2,655,733.0,27.8746056390781,20,9,89.02223857909608,28.45747766359976,0.7238094355538962,1
76,3,1,447,531.0,36.95572324790628,7,4,70.54541633714291,12.21204793660876,0.3710588891223889,1
77,4,1,366,,13.336806563044597,18,1,77.6143296891323,36.65234427163578,0.3748572336220743,0
78,1,2,690,734.0,14.218039583929135,18,10,91.70042042457573,69.64615576728983,0.6778217250422328,1
79,5,2,98,110.0,67.7494196011917,7,4,52.168926453753,66.05835423911273,0.4747545367364748,1
80,1,2,550,,95.93155587967532,12,5,52.04329207292744,59.76003664322449,0.6863218526760738,0
81,1,1,505,,22.773497069227545,5,2,65.4381647257423,76.96820347037485,0.22330205440683337,0
82,5,1,486,553.0,53.87606731850069,11,7,87.50740175850824,95.55933224544798,0.5947023135716173,1
83,1,1,195,,42.09273477177211,9,2,75.59385542726584,43.52847751132492,0.355024587620939,0
84,1,1,222,231.0,40.398077268066366,7,4,53.40800298234453,48.79359049157362,0.38265077875272774,1
85,1,2,661,723.0,65.0337603745606,19,7,74.62656494021554,35.4340401666406,0.7656077416942669,1
86,5,2,659,,2.346835149616159,4,2,88.32572285678341,61.32818909542181,0.13785009655853278,0
87,3,1,596,,67.1254398101185,3,10,60.79363236403076,67.46767278561448,0.605984994531476,0
88,1,1,205,,32.551028471254334,4,7,50.52054933062579,26.335472838207902,0.4062256334076557,0
89,1,1,547,626.0,33.221429878985646,10,0,71.02668603641426,69.55960060287876,0.27515166386768924,1
90,1,2,321,376.0,3.608385887197843,12,6,73.87502611171486,71.4711334471692,0.4087629482999615,1
91,1,1,464,502.0,81.137847751928,9,4,52.5479188384228,71.03879989153981,0.5531723113606658,1
92,2,1,369,,75.48784291822726,1,5,51.793778258704506,24.74935070651185,0.4341466432834602,0
93,2,1,617,705.0,60.93463682338108,20,9,81.58560513375862,29.00188364857853,0.8351368093276657,1
94,3,2,348,,1.776647202821696,11,7,50.780573331359264,59.4793471672893,0.41926111134526395,0
95,5,1,557,570.0,55.29169273744926,19,2,81.43226203068515,79.31814212891162,0.5661370011409432,1
96,4,1,219,,54.17976283879886,9,2,73.66606452746696,35.7469591802418,0.39572682059617087,0
97,4,1,649,,19.430338538860955,18,6,63.9813173841432,51.22714861350365,0.5620417820956769,0
98,1,2,539,556.0,36.685839885776296,9,3,97.017835723286,79.00436169083594,0.37015024218732845,1
99,1,1,181,,15.086335642482648,18,2,77.47082149010794,86.6319592006087,0.41408165207776393,0
100,1,2,415,,9.880230403817208,2,5,52.14262839320924,42.92665417639105,0.22988411859312888,0
101,1,2,27,71.0,57.10007792126629,16,1,98.43352614008884,95.64807029994114,0.4888938634589683,1
102,5,2,367,,22.17836417947205,0,9,68.00077698333658,88.49886056707629,0.3712960688210844,0
103,1,2,376,421.0,87.55093579174928,9,0,86.94631148227096,89.25673969153371,0.4414359427994971,1
104,1,2,411,,16.895223265553852,14,9,68.57645327350014,48.34825924315631,0.5868376230182238,0
105,2,2,260,290.0,90.90507359950244,19,8,78.78184188120731,46.47547351933574,0.8860606037859,1
106,4,1,23,,48.76269556773064,17,4,67.40102537778354,41.64978118324392,0.5774838870310869,0
107,5,1,468,523.0,64.2336174728836,19,7,96.1427774048847,6.182249654034178,0.7629133156850827,1
108,2,1,679,,1.3345058340328149,8,5,89.37415887109415,49.23327199072878,0.30110648078700547,0
109,2,2,251,,6.258941795701109,19,5,97.9582268698994,17.25951474329066,0.5010215957586109,0
110,5,1,398,,24.681897715387656,4,10,76.06499391624814,30.62257034545801,0.4797258785904374,0
111,1,1,489,,18.13941847735042,0,0,62.81103980889195,82.11963631283035,0.05769819783832076,0
112,4,2,223,,10.056812835035064,10,8,75.4104087518778,25.956530918507347,0.4638104144255479,0
113,4,1,289,308.0,84.14609769473014,15,5,73.70656958563228,62.54344521952093,0.6966348854707928,1
114,2,2,29,,9.742959400639204,9,7,62.05238624899021,55.88842511336092,0.41275395130494646,0
115,5,1,543,,35.96228582597124,4,0,86.88619783111699,73.9792576500326,0.18438180713954297,0
116,2,2,277,,3.440949514982396,0,6,87.17420880316594,49.40500868803226,0.20820011786512815,0
117,3,1,588,,25.470299714857244,0,9,51.52728968677454,72.11856514527716,0.3823814345832615,0
118,1,2,471,502.0,15.344967271427256,6,8,90.62201201982948,63.37961430561173,0.41495157625689166,1
119,5,2,236,298.0,54.18360976009397,20,6,65.73490412386319,65.10002248370924,0.7124041915227665,1
120,4,2,59,,14.452728862631826,13,3,99.0132375051274,4.446850551911396,0.3619481083019305,0
121,2,2,611,,94.65421714056572,4,10,67.77543537154133,3.4368232405588506,0.715352835958918,0
122,3,2,630,,9.684046530276468,18,0,61.66858157318342,38.78834401380908,0.32922381625957814,0
123,5,1,476,,11.826234407838406,6,2,61.12123409860745,61.65013487721439,0.2031044861216715,0
124,3,2,287,346.0,89.88178483281057,18,1,73.09700977504747,61.85231898492772,0.6326171661169162,1
125,3,1,35,43.0,87.28302239010452,15,10,85.9452131673776,43.989207150781965,0.873863262942104,1
126,5,2,155,,19.268970022927768,0,6,69.57944029756533,10.806673975007207,0.261499884745674,0
127,1,2,274,,13.022818957109124,11,6,75.82772230082863,3.193659352528555,0.4237988187055712,0
128,5,2,510,532.0,88.99990602599178,11,6,69.62323914564101,91.94907791430668,0.6796464167676013,1
129,3,1,77,98.0,72.50880566404707,15,7,91.56188149358692,89.70828922039557,0.7241131075715059,1
130,2,2,499,,15.187693591285456,8,5,51.38141496781508,52.16741693520286,0.34775613464886074,0
131,5,2,556,,17.9797867671542,6,2,67.17301884593982,71.79811032462091,0.223826149078459,0
132,1,2,4,91.0,87.26202564168797,3,7,70.86462688673276,95.53449799797215,0.5737945578256487,1
133,1,1,554,618.0,10.471202332393055,8,9,76.52730196967582,72.84725350098749,0.46520567579964034,1
134,4,2,418,430.0,29.24110253221175,6,10,76.85944197829933,33.770820881830744,0.528411852880053,1
135,5,2,48,113.0,29.445702989537292,7,6,85.18513763219013,26.15809961709488,0.41243541412248036,1
136,3,2,558,642.0,34.17730240292625,20,6,98.48392741798904,69.34892468921299,0.6450343319915439,1
137,5,1,34,62.0,26.820034292084856,8,4,84.1227064022452,72.65406916868662,0.35359423928975403,1
138,4,1,409,,1.68880114302583,5,8,86.52103600402899,18.25010182418236,0.3522987958013712,0
139,2,2,296,375.0,52.14878567213167,2,7,88.28163858125463,79.30162112492182,0.4388865618112326,1
140,2,1,117,207.0,99.75386082052768,19,4,70.54991868410816,24.97061485849797,0.7825262841470297,1
141,4,2,372,,46.99369367948536,0,7,62.524510949444775,57.054908474642495,0.3881939785750031,0
142,5,2,413,,83.31024557110081,4,1,93.29728091488354,95.83785631215684,0.3771557944361425,0
143,5,1,69,,52.25632505334176,9,0,86.32073431530327,46.52250129976818,0.32258377656984094,0
144,1,2,683,735.0,84.48990313430181,0,9,96.16317483383284,84.77026050376995,0.5811258765720474,1
145,4,1,523,,61.03931977881102,13,6,67.99691586063622,42.08148502477037,0.6188242386103943,0
146,1,2,201,256.0,55.67000573721081,11,9,89.06386077005743,46.99548634486855,0.6674092774162639,1
147,4,2,456,,1.5663722226544978,8,4,51.88603763462213,50.95618640651922,0.26855427484789307,0
148,4,2,152,180.0,89.5445955161506,15,2,98.24105898950305,94.66678069631789,0.6148149543622015,1
149,2,2,449,,87.74610602003246,20,8,81.89673528609613,36.68965168913999,0.8920895817738375,0
150,1,1,585,,23.91222641587904,20,10,56.91001466740049,47.89633474805014,0.743799396938925,0
151,4,1,142,,74.868899878852,10,1,68.9028814238327,1.1746895223129994,0.4487296452976706,0
152,4,2,143,226.0,93.969049183815,20,7,83.4137733487016,87.83881742513633,0.8797119134731638,1
153,5,2,577,,82.1669466051735,14,2,96.60884974587046,40.20975129423328,0.5733046474002063,0
154,4,1,66,85.0,52.16325887437178,19,4,95.98129001977571,80.38279316053402,0.6222682159848326,1
155,5,2,552,617.0,35.14402824314515,19,4,63.496014273245166,64.20498938858061,0.5649571312111387,1
156,1,1,194,,47.13434792094828,18,0,56.7867653791634,60.60176960592657,0.4553351220117401,0
157,2,2,623,711.0,64.5357650396601,14,9,87.73876955683595,93.15762948059138,0.7472638601050487,1
158,1,1,587,,4.179855850713633,15,6,64.8875384746979,20.90977296359089,0.460687083970243,0
159,1,1,289,366.0,40.62169045834231,12,9,88.8620351658578,9.453955461377006,0.6334016974264308,1
160,5,2,193,,11.388978852466996,9,9,73.4406909906941,39.978662791044094,0.4849628082354605,0
161,3,1,455,,4.439472446310367,8,10,98.49116689265024,20.70846545136995,0.4782272416186897,0
162,4,2,570,,25.499305220632408,4,10,77.37668842546604,8.998963191982668,0.4824784419608275,0
163,2,2,484,561.0,21.112843798056684,2,4,84.67030688857676,93.70550941381522,0.23437616911154127,1
164,2,1,64,,9.284417836522035,4,6,78.26216595438746,65.10731742262826,0.2945439275564149,0
165,3,1,171,216.0,55.01186032779908,18,10,79.45224189908518,97.84185220555266,0.8151921015036218,1
166,3,2,146,,76.5756771656946,12,8,61.07108933851266,29.016247073068925,0.7211412667292944,0
167,5,1,670,,58.80196846349352,19,3,83.26468690952731,19.007688415660883,0.6112906124323828,0
168,2,1,227,,20.943201682933587,1,3,67.4132755485814,39.68213969230292,0.18380532765758573,0
169,2,1,623,642.0,33.580492151161195,3,8,83.07007991059885,71.55146279627289,0.4263586979833042,1
170,5,2,18,67.0,7.724694218059798,13,9,96.01446045061697,72.40334894690264,0.5392899159105095,1
171,1,1,47,,46.23256094326037,3,4,55.67439199764145,88.50579136569165,0.3356316665974126,0
172,2,2,406,443.0,2.2637772252718387,17,9,94.0410334648175,93.38300222934068,0.5875669880916274,1
173,2,1,561,634.0,70.13301907011545,17,4,64.93440531649782,84.61031400809817,0.6494469768102027,1
174,4,1,428,,64.31582881135381,2,1,50.11893008067853,55.0337827720627,0.2798602400008074,0
175,5,2,226,,13.264175964260629,1,6,99.89047277914742,53.35689123375985,0.2579457384353106,0
176,4,1,446,499.0,89.92764928380763,13,4,64.60157057111489,31.4971932407386,0.6494376948321167,1
177,2,1,581,609.0,40.43938989028363,10,6,75.39880616220685,46.788351120267926,0.49945564616526844,1
178,5,1,403,417.0,60.3369916220883,10,6,74.76458656753562,94.36787885429892,0.5664594470040888,1
179,2,1,609,,68.90175123356,15,1,84.79200519299607,33.54557116098081,0.5119686006542038,0
180,2,1,584,,75.06291387483361,5,2,54.71767736459012,20.181305587600207,0.3993830573761858,0
181,2,2,395,423.0,21.304281618637383,14,4,67.85519575591739,63.76383569039152,0.43501982276757417,1
182,5,2,372,,85.88406981842928,14,7,67.04892736996501,34.03748706200561,0.752486803345079,0
183,4,1,691,736.0,29.50007083014961,17,8,90.0641179243371,30.405649568933125,0.645950327418368,1
184,3,1,382,453.0,20.90726535219855,13,0,87.86807382679848,73.03273105093909,0.2836843145385481,1
185,2,2,524,,77.30213291535003,2,5,60.511294232126986,10.461542637947518,0.4569227229911761,0
186,3,1,264,,21.04537784999662,8,8,54.64117838806955,46.41868399299827,0.467480482202631,0
187,2,1,270,290.0,51.87187856764312,12,9,97.79603459297616,98.1304937721164,0.6712859295884385,1
188,2,1,333,,17.55238960017957,17,3,56.60612619560328,55.87074126296901,0.43905233528491655,0
189,4,1,597,641.0,96.6948842341572,16,3,53.19100589266155,6.90697583599097,0.6888926415662238,1
190,5,2,581,597.0,50.27789979708274,19,5,80.65378558585638,60.60168011369976,0.6492523993907157,1
191,2,2,462,543.0,40.9610227548543,12,10,58.03086465996762,70.47871500043227,0.6678773755233419,1
192,5,1,424,,17.530413493582845,8,10,87.50647034590921,35.87914070340285,0.5223100822819512,0
193,1,1,289,,89.77790844086671,0,4,95.51006417810171,7.20195123793469,0.43226786953732166,0
194,5,1,316,389.0,26.03054453335096,19,5,72.35856893002477,73.9667399126054,0.5676011036789158,1
195,5,2,641,697.0,75.95949591583944,10,8,89.0100800298086,99.75015533375888,0.6857331522212253,1
196,5,2,313,350.0,50.54899461258477,17,0,96.67524825551548,98.22668880537591,0.4501671257914128,1
197,3,2,171,,98.87699893648724,19,1,74.2539050023157,17.378650187307965,0.6795745122485721,0
198,2,2,674,,25.625583362827044,3,3,76.13125861382457,72.77790851215245,0.23290609153402167,0
199,4,2,325,334.0,85.77222767662947,7,4,85.61544429642566,23.62692095640257,0.535445099303755,1
200,5,2,96,167.0,44.20839148348817,15,5,88.9432813292398,98.49870694213776,0.5621474156236081,1
201,5,1,315,365.0,31.20580983099613,7,3,94.27552187882809,86.19518798543506,0.3183634524485451,1
202,3,2,199,226.0,24.977393309301075,5,10,87.38557626267573,83.44668050654933,0.49738752294662586,1
203,5,1,319,,5.694147977868408,14,9,65.15376834168087,57.99243662687415,0.5491187748940768,0
204,3,2,210,,1.911361071673656,8,2,69.61580112317624,2.81354124824158,0.20305000098505335,0
205,4,2,390,,32.034053703476054,12,1,74.90287009827692,51.17855493880601,0.33781942319994185,0
206,3,2,669,,17.741286141644498,2,1,80.59119755497976,15.681292947329084,0.1230236813409663,0
207,1,1,343,,9.31616973754194,6,8,51.99012097602919,21.762275540593237,0.39465001656629156,0
208,1,1,642,,51.87370764304513,6,9,55.68914986902414,7.336565938054019,0.5712925888711432,0
209,4,2,30,,27.22175952354357,4,10,86.27103530577426,18.567148673432264,0.48827868797146873,0
210,3,1,553,568.0,95.10860929451788,15,6,85.08620617537736,38.20289909337884,0.7668833868408736,1
211,1,1,76,,18.53002126967804,16,7,61.5450931986686,66.14472488754824,0.5590098591520758,0
212,5,1,299,370.0,34.71701780469075,20,9,72.3618967889136,30.77451511814844,0.746850786375036,1
213,4,2,308,380.0,92.9730676859633,16,9,82.01487518318757,89.10037963132255,0.8763576811764672,1
214,5,1,527,572.0,20.15127557318181,19,9,96.40301778252824,45.06465913472266,0.6811350711557268,1
215,5,1,284,326.0,86.7750978229576,8,9,81.11635891459215,53.3306365640841,0.7221537786709421,1
216,3,2,452,,65.88293674688187,8,1,52.55827868057305,4.229916702820191,0.3851368678411422,0
217,5,2,545,,43.23259820438494,2,3,74.67740653685766,1.119061395617027,0.27552991574341723,0
218,5,1,52,81.0,36.15818831626328,11,4,92.99504451915809,38.79256753735103,0.43503957860733666,1
219,5,1,557,,93.8607986804902,4,7,84.9478703502393,50.07656288003105,0.6126820540328207,0
220,1,1,541,,59.49632037445159,1,10,53.77946163513258,29.51732752715919,0.5469612945960436,0
221,2,1,275,357.0,33.11938463487156,11,9,67.31472810141982,81.94937898564864,0.5914716169133066,1
222,5,2,61,,3.356798282575958,18,2,73.98281249937983,76.30678613498885,0.3745832443908488,0
223,5,1,583,617.0,16.018954934885944,5,3,78.31546522828148,58.14768335421024,0.23388959985604155,1
224,3,1,666,737.0,30.506209756344237,13,3,77.73009218893688,73.24874359053992,0.41600709747411724,1
225,4,2,107,136.0,93.75797613696083,11,5,73.43541497914916,11.832285155225698,0.6623358895421269,1
226,5,1,386,,19.671294195887608,2,4,95.23321460569063,37.35124070664491,0.2295218502973986,0
227,2,1,468,,6.994673367884799,12,10,71.23054938911004,21.32907023759415,0.5534980377407139,0
228,5,2,629,,29.185098919867997,13,0,86.45694748476237,12.095744346586844,0.3115593478828163,0
229,2,2,126,,72.51497725564705,18,3,56.5111732759795,43.79468106321828,0.6408016399682778,0
230,5,2,131,194.0,53.13289931638914,10,2,85.42571276294193,71.81642457683691,0.4088681632548677,1
231,3,1,567,595.0,72.24672863407444,13,8,79.65791476564921,87.40023281042775,0.7232304145929921,1
232,3,1,388,,27.91421194586566,12,2,62.74921795298175,44.7507492074815,0.35727914036571856,0
233,3,2,592,,97.31280386632396,13,5,67.49888417111893,10.238124194339647,0.7076396932946901,0
234,1,1,322,,94.8940903986078,10,3,84.51899473146182,27.608672842124705,0.5828290925825813,0
235,1,1,452,,38.17422689084048,0,7,68.25789271326133,94.95314606862236,0.3584950327333851,0
236,4,1,706,738.0,47.79798296499262,16,6,99.45658031548152,72.3646022842546,0.6242347005822896,1
237,1,2,547,,92.25094027571448,10,7,58.9871575793124,35.77520503273558,0.7072604669422025,0
238,4,1,153,,20.614943440534127,0,3,64.90926870443323,95.10628096842508,0.1660333573433396,0
239,5,1,27,58.0,55.85177996256086,8,9,95.50051605301778,22.944626993410555,0.618021639575924,1
240,2,2,77,,26.53601117190316,18,1,69.06431323729844,79.48989106144786,0.41930464435847276,0
241,4,2,664,707.0,63.38837133640267,6,6,78.20733735815587,36.03171920258424,0.5100684243028689,1
242,4,2,617,700.0,66.87507447118715,4,5,93.6114584867073,98.437621146655,0.45514348984565284,1
243,3,1,82,153.0,72.10556150314714,12,8,91.65622690799164,4.445659843011873,0.7060884606867917,1
244,2,2,533,596.0,44.97174815893753,9,10,99.58943237206655,41.47876453072497,0.631383466568495,1
245,4,2,282,,34.08731404370523,20,8,50.56695291171948,51.3873248116503,0.7113973024079953,0
246,3,1,552,576.0,7.052625371210137,15,10,58.74270038427077,61.23584171610206,0.6036929371143034,1
247,2,1,171,260.0,40.51182065618518,7,7,84.13661667109162,43.141739931961865,0.4830328017735894,1
248,5,2,104,,17.200542291464448,2,7,66.77819237505666,13.70781674983208,0.3212007637584006,0
249,5,2,582,626.0,90.64140052160415,12,5,95.3946814243713,37.08997504932074,0.6685076195440454,1
250,5,1,515,,29.205953681134748,11,8,59.94863592874982,26.389538577120387,0.5449604082115087,0
251,5,2,150,,5.621797170028102,2,6,67.8544748882983,38.95945439924871,0.24887713852609317,0
252,1,1,717,729.0,53.19525040843919,19,4,92.03606429977054,99.02767116879038,0.6257433762653541,1
253,2,2,312,,74.34012710854168,8,1,83.6747517343513,29.419810517269077,0.41361587281302675,0
254,3,1,216,,21.904645705760768,4,6,72.78852150289683,55.7168526535654,0.3370416740732413,0
255,1,1,445,,71.89325476650619,9,3,58.93807921820053,60.45784784843784,0.4887087823830259,0
256,3,1,398,481.0,67.46543288078277,13,8,55.07779429753203,60.1334231177981,0.7071297310672496,1
257,5,1,561,,2.521258822737608,3,3,88.35124117829,42.316143260453,0.15510387291160618,0
258,1,1,523,,39.18750046208349,1,10,53.44504405492631,55.96779562290756,0.47857274490943974,0
259,1,1,141,156.0,66.97623480074239,13,5,99.838976210468,25.091146752915023,0.6054833902788199,1
260,3,1,395,,54.845475952771466,6,8,59.34831530318564,40.965440746558144,0.5479668135900609,0
261,3,1,93,,4.680353516914952,11,0,75.96922505092694,37.56351059883871,0.19570814197036537,0
262,2,1,80,,29.703772272575407,14,1,90.85540563383856,51.04807967433951,0.3633055279451552,0
263,2,1,197,230.0,56.49339588926032,7,4,84.4213026160467,14.091570976250669,0.4368506535852823,1
264,5,1,176,189.0,88.05284426724094,8,7,92.2185560098548,26.86475055537253,0.6597905016471376,1
265,5,1,126,207.0,50.08816307929838,2,7,82.25019297629314,83.64073321041747,0.4319475574188851,1
266,3,2,7,,36.517395179147634,11,2,60.5136766813182,83.12990345058597,0.3695831829251033,0
267,4,1,715,,88.92961312745989,1,9,95.6782898136151,30.439877969056,0.6127428769547119,0
268,1,2,67,,15.77753325425548,13,9,70.736997823861,27.065683689045283,0.5664072956953242,0
269,5,2,86,,57.82219023266134,4,3,98.15023385652948,10.608243080344714,0.35799252684138466,0
270,4,2,377,,52.4889038229776,16,3,62.17535079756498,82.75687695768455,0.5400320528742204,0
271,5,1,583,,41.64175565079136,9,3,95.8894954855692,38.0898352391083,0.3868389465532552,0
272,4,2,356,,82.11404147758725,1,7,84.58316153723598,0.8178706992683527,0.5231259097115855,0
273,4,2,232,,67.59222520380474,4,5,94.58274533701312,31.42454953930985,0.4575584454522332,0
274,1,2,676,,60.8216920827056,19,9,59.43335415088936,10.76135614747109,0.8180898923732102,0
275,4,1,121,,78.79243288898168,13,1,58.64519955347364,51.15574331724856,0.5119416219752168,0
276,1,1,669,,52.685283542595975,0,3,76.5487767453294,23.811752839589563,0.27402801468925725,0
277,4,1,255,312.0,67.53635467000025,3,4,78.37931924431625,74.7676996999029,0.4073707219477944,1
278,1,1,227,,9.220837023208457,14,10,86.84137701138116,41.426327834121054,0.5943276569056777,0
279,1,1,63,,70.17396544668404,5,4,74.04774800258863,50.97493520925303,0.44958586090287705,0
280,4,1,500,,77.91769245085959,15,0,83.86421622326522,8.983253916563793,0.5089961605736698,0
