ResourceSK,id_site,code_module,code_presentation,activity_type,week_from,week_to,resource_full_id,activity_category
93,546670,AAA,2013J,oucontent,,,AAA_2013J_546670,Other
94,546922,AAA,2013J,resource,,,AAA_2013J_546922,Content
95,546701,AAA,2013J,oucontent,,,AAA_2013J_546701,Other
96,546987,AAA,2013J,resource,,,AAA_2013J_546987,Content
97,546871,AAA,2013J,subpage,,,AAA_2013J_546871,Content
98,547023,AAA,2013J,resource,,,AAA_2013J_547023,Content
99,546667,AAA,2013J,oucontent,,,AAA_2013J_546667,Other
100,546919,AAA,2013J,resource,,,AAA_2013J_546919,Content
101,546697,AAA,2013J,oucontent,,,AAA_2013J_546697,Other
102,546984,AAA,2013J,resource,,,AAA_2013J_546984,Content
103,546738,AAA,2013J,oucontent,,,AAA_2013J_546738,Other
104,547020,AAA,2013J,resource,,,AAA_2013J_547020,Content
105,546664,AAA,2013J,oucontent,,,AAA_2013J_546664,Other
106,546694,AAA,2013J,oucontent,,,AAA_2013J_546694,Other
107,546975,AAA,2013J,resource,,,AAA_2013J_546975,Content
108,546735,AAA,2013J,oucontent,,,AAA_2013J_546735,Other
109,547017,AAA,2013J,resource,,,AAA_2013J_547017,Content
110,546660,AAA,2013J,glossary,,,AAA_2013J_546660,Other
111,546916,AAA,2013J,resource,,,AAA_2013J_546916,Content
112,546691,AAA,2013J,oucontent,,,AAA_2013J_546691,Other
113,546971,AAA,2013J,resource,,,AAA_2013J_546971,Content
114,546732,AAA,2013J,oucontent,2.0,2.0,AAA_2013J_546732,Other
115,547013,AAA,2013J,resource,,,AAA_2013J_547013,Content
116,546657,AAA,2013J,forumng,,,AAA_2013J_546657,Discussion
117,546913,AAA,2013J,resource,,,AAA_2013J_546913,Content
118,546688,AAA,2013J,oucontent,,,AAA_2013J_546688,Other
119,546966,AAA,2013J,resource,,,AAA_2013J_546966,Content
120,546726,AAA,2013J,oucontent,,,AAA_2013J_546726,Other
121,547009,AAA,2013J,resource,,,AAA_2013J_547009,Content
122,547050,AAA,2013J,dataplus,,,AAA_2013J_547050,Other
123,546654,AAA,2013J,forumng,,,AAA_2013J_546654,Discussion
124,546909,AAA,2013J,resource,,,AAA_2013J_546909,Content
125,546685,AAA,2013J,oucontent,,,AAA_2013J_546685,Other
126,546960,AAA,2013J,resource,,,AAA_2013J_546960,Content
127,546721,AAA,2013J,oucontent,,,AAA_2013J_546721,Other
128,547006,AAA,2013J,resource,,,AAA_2013J_547006,Content
129,547047,AAA,2013J,dataplus,,,AAA_2013J_547047,Other
130,546651,AAA,2013J,forumng,,,AAA_2013J_546651,Discussion
131,546905,AAA,2013J,url,,,AAA_2013J_546905,Content
132,546952,AAA,2013J,resource,,,AAA_2013J_546952,Content
133,546716,AAA,2013J,oucontent,,,AAA_2013J_546716,Other
134,547003,AAA,2013J,resource,,,AAA_2013J_547003,Content
135,547040,AAA,2013J,resource,,,AAA_2013J_547040,Content
136,546648,AAA,2013J,forumng,,,AAA_2013J_546648,Discussion
137,546901,AAA,2013J,url,,,AAA_2013J_546901,Content
138,546682,AAA,2013J,oucontent,,,AAA_2013J_546682,Other
139,546947,AAA,2013J,resource,,,AAA_2013J_546947,Content
140,546713,AAA,2013J,oucontent,,,AAA_2013J_546713,Other
141,547000,AAA,2013J,resource,,,AAA_2013J_547000,Content
142,546889,AAA,2013J,url,,,AAA_2013J_546889,Content
143,547036,AAA,2013J,resource,,,AAA_2013J_547036,Content
144,546644,AAA,2013J,forumng,,,AAA_2013J_546644,Discussion
145,546898,AAA,2013J,url,,,AAA_2013J_546898,Content
146,546679,AAA,2013J,oucontent,,,AAA_2013J_546679,Other
147,546935,AAA,2013J,resource,,,AAA_2013J_546935,Content
148,546709,AAA,2013J,oucontent,,,AAA_2013J_546709,Other
149,546996,AAA,2013J,resource,,,AAA_2013J_546996,Content
150,546885,AAA,2013J,url,,,AAA_2013J_546885,Content
151,547032,AAA,2013J,resource,,,AAA_2013J_547032,Content
152,546894,AAA,2013J,url,,,AAA_2013J_546894,Content
153,546676,AAA,2013J,oucontent,,,AAA_2013J_546676,Other
154,546928,AAA,2013J,resource,,,AAA_2013J_546928,Content
155,546706,AAA,2013J,oucontent,,,AAA_2013J_546706,Other
156,546992,AAA,2013J,resource,,,AAA_2013J_546992,Content
157,546879,AAA,2013J,subpage,,,AAA_2013J_546879,Content
158,547028,AAA,2013J,resource,,,AAA_2013J_547028,Content
159,546672,AAA,2013J,oucontent,,,AAA_2013J_546672,Other
160,546924,AAA,2013J,resource,,,AAA_2013J_546924,Content
161,546703,AAA,2013J,oucontent,,,AAA_2013J_546703,Other
162,546989,AAA,2013J,resource,,,AAA_2013J_546989,Content
163,546873,AAA,2013J,subpage,,,AAA_2013J_546873,Content
164,547025,AAA,2013J,resource,,,AAA_2013J_547025,Content
165,546669,AAA,2013J,oucontent,,,AAA_2013J_546669,Other
166,546921,AAA,2013J,resource,,,AAA_2013J_546921,Content
167,546700,AAA,2013J,oucontent,,,AAA_2013J_546700,Other
168,546986,AAA,2013J,resource,,,AAA_2013J_546986,Content
169,546740,AAA,2013J,oucontent,,,AAA_2013J_546740,Other
170,547022,AAA,2013J,resource,,,AAA_2013J_547022,Content
171,546666,AAA,2013J,oucontent,,,AAA_2013J_546666,Other
172,546918,AAA,2013J,resource,,,AAA_2013J_546918,Content
173,546696,AAA,2013J,oucontent,,,AAA_2013J_546696,Other
174,546983,AAA,2013J,resource,,,AAA_2013J_546983,Content
175,546737,AAA,2013J,oucontent,,,AAA_2013J_546737,Other
176,547019,AAA,2013J,resource,,,AAA_2013J_547019,Content
177,546662,AAA,2013J,oucontent,,,AAA_2013J_546662,Other
178,546693,AAA,2013J,oucontent,,,AAA_2013J_546693,Other
179,546974,AAA,2013J,resource,,,AAA_2013J_546974,Content
180,546734,AAA,2013J,oucontent,,,AAA_2013J_546734,Other
181,547015,AAA,2013J,resource,,,AAA_2013J_547015,Content
182,546659,AAA,2013J,forumng,,,AAA_2013J_546659,Discussion
183,546915,AAA,2013J,resource,,,AAA_2013J_546915,Content
184,546690,AAA,2013J,oucontent,,,AAA_2013J_546690,Other
185,546970,AAA,2013J,resource,,,AAA_2013J_546970,Content
186,546731,AAA,2013J,oucontent,,,AAA_2013J_546731,Other
187,547012,AAA,2013J,resource,,,AAA_2013J_547012,Content
188,547067,AAA,2013J,oucollaborate,,,AAA_2013J_547067,Other
189,546656,AAA,2013J,forumng,,,AAA_2013J_546656,Discussion
190,546911,AAA,2013J,resource,,,AAA_2013J_546911,Content
191,546687,AAA,2013J,oucontent,,,AAA_2013J_546687,Other
192,546965,AAA,2013J,resource,,,AAA_2013J_546965,Content
193,546725,AAA,2013J,oucontent,,,AAA_2013J_546725,Other
194,547008,AAA,2013J,resource,,,AAA_2013J_547008,Content
195,547049,AAA,2013J,dataplus,,,AAA_2013J_547049,Other
196,546653,AAA,2013J,forumng,,,AAA_2013J_546653,Discussion
197,546907,AAA,2013J,resource,,,AAA_2013J_546907,Content
198,546955,AAA,2013J,resource,,,AAA_2013J_546955,Content
199,546719,AAA,2013J,oucontent,1.0,1.0,AAA_2013J_546719,Other
200,547005,AAA,2013J,resource,,,AAA_2013J_547005,Content
201,547043,AAA,2013J,resource,,,AAA_2013J_547043,Content
202,546650,AAA,2013J,forumng,,,AAA_2013J_546650,Discussion
203,546904,AAA,2013J,url,,,AAA_2013J_546904,Content
204,546684,AAA,2013J,oucontent,,,AAA_2013J_546684,Other
205,546949,AAA,2013J,resource,,,AAA_2013J_546949,Content
206,546715,AAA,2013J,oucontent,,,AAA_2013J_546715,Other
207,547002,AAA,2013J,resource,,,AAA_2013J_547002,Content
208,547038,AAA,2013J,resource,,,AAA_2013J_547038,Content
209,546647,AAA,2013J,forumng,,,AAA_2013J_546647,Discussion
210,546900,AAA,2013J,url,,,AAA_2013J_546900,Content
211,546681,AAA,2013J,oucontent,1.0,1.0,AAA_2013J_546681,Other
212,877162,AAA,2014J,resource,,,AAA_2014J_877162,Content
213,877223,AAA,2014J,resource,,,AAA_2014J_877223,Content
214,877032,AAA,2014J,oucontent,,,AAA_2014J_877032,Other
215,877263,AAA,2014J,resource,,,AAA_2014J_877263,Content
216,877064,AAA,2014J,oucontent,,,AAA_2014J_877064,Other
217,877098,AAA,2014J,oucontent,,,AAA_2014J_877098,Other
218,877157,AAA,2014J,resource,,,AAA_2014J_877157,Content
219,877220,AAA,2014J,resource,,,AAA_2014J_877220,Content
220,877029,AAA,2014J,glossary,,,AAA_2014J_877029,Other
221,877260,AAA,2014J,resource,,,AAA_2014J_877260,Content
222,877061,AAA,2014J,oucontent,,,AAA_2014J_877061,Other
223,1032910,AAA,2014J,url,,,AAA_2014J_1032910,Content
224,877094,AAA,2014J,oucontent,,,AAA_2014J_877094,Other
225,877154,AAA,2014J,resource,,,AAA_2014J_877154,Content
226,877217,AAA,2014J,resource,,,AAA_2014J_877217,Content
227,877025,AAA,2014J,forumng,,,AAA_2014J_877025,Discussion
228,877256,AAA,2014J,resource,,,AAA_2014J_877256,Content
229,877058,AAA,2014J,oucontent,,,AAA_2014J_877058,Other
230,877423,AAA,2014J,dataplus,,,AAA_2014J_877423,Other
231,877091,AAA,2014J,oucontent,,,AAA_2014J_877091,Other
232,877151,AAA,2014J,resource,,,AAA_2014J_877151,Content
233,877214,AAA,2014J,resource,,,AAA_2014J_877214,Content
234,877012,AAA,2014J,forumng,,,AAA_2014J_877012,Discussion
235,877253,AAA,2014J,resource,,,AAA_2014J_877253,Content
236,877055,AAA,2014J,oucontent,,,AAA_2014J_877055,Other
237,877420,AAA,2014J,dataplus,,,AAA_2014J_877420,Other
238,877088,AAA,2014J,oucontent,,,AAA_2014J_877088,Other
239,877148,AAA,2014J,resource,,,AAA_2014J_877148,Content
240,877211,AAA,2014J,resource,,,AAA_2014J_877211,Content
241,877247,AAA,2014J,resource,,,AAA_2014J_877247,Content
242,877052,AAA,2014J,oucontent,,,AAA_2014J_877052,Other
243,877402,AAA,2014J,url,,,AAA_2014J_877402,Content
244,877085,AAA,2014J,oucontent,,,AAA_2014J_877085,Other
245,877145,AAA,2014J,resource,,,AAA_2014J_877145,Content
246,877208,AAA,2014J,resource,,,AAA_2014J_877208,Content
247,877244,AAA,2014J,resource,,,AAA_2014J_877244,Content
248,877049,AAA,2014J,oucontent,,,AAA_2014J_877049,Other
249,877397,AAA,2014J,url,,,AAA_2014J_877397,Content
250,877081,AAA,2014J,oucontent,,,AAA_2014J_877081,Other
251,877142,AAA,2014J,resource,,,AAA_2014J_877142,Content
252,877203,AAA,2014J,resource,,,AAA_2014J_877203,Content
253,877241,AAA,2014J,resource,,,AAA_2014J_877241,Content
254,877046,AAA,2014J,oucontent,,,AAA_2014J_877046,Other
255,877394,AAA,2014J,url,,,AAA_2014J_877394,Content
256,877078,AAA,2014J,oucontent,,,AAA_2014J_877078,Other
257,877197,AAA,2014J,resource,,,AAA_2014J_877197,Content
258,877237,AAA,2014J,resource,,,AAA_2014J_877237,Content
259,877043,AAA,2014J,oucontent,,,AAA_2014J_877043,Other
260,877387,AAA,2014J,url,,,AAA_2014J_877387,Content
261,877075,AAA,2014J,oucontent,,,AAA_2014J_877075,Other
262,877139,AAA,2014J,resource,,,AAA_2014J_877139,Content
263,877190,AAA,2014J,resource,,,AAA_2014J_877190,Content
264,877233,AAA,2014J,resource,,,AAA_2014J_877233,Content
265,877040,AAA,2014J,oucontent,2.0,2.0,AAA_2014J_877040,Other
266,877384,AAA,2014J,url,,,AAA_2014J_877384,Content
267,877072,AAA,2014J,oucontent,,,AAA_2014J_877072,Other
268,877135,AAA,2014J,subpage,,,AAA_2014J_877135,Content
269,877184,AAA,2014J,resource,,,AAA_2014J_877184,Content
270,877229,AAA,2014J,resource,,,AAA_2014J_877229,Content
271,877037,AAA,2014J,oucontent,,,AAA_2014J_877037,Other
272,877380,AAA,2014J,oucollaborate,,,AAA_2014J_877380,Other
273,877069,AAA,2014J,oucontent,,,AAA_2014J_877069,Other
274,877132,AAA,2014J,subpage,,,AAA_2014J_877132,Content
275,877172,AAA,2014J,resource,,,AAA_2014J_877172,Content
276,877225,AAA,2014J,resource,,,AAA_2014J_877225,Content
277,877034,AAA,2014J,oucontent,,,AAA_2014J_877034,Other
278,877265,AAA,2014J,resource,,,AAA_2014J_877265,Content
279,877066,AAA,2014J,oucontent,,,AAA_2014J_877066,Other
280,877100,AAA,2014J,oucontent,,,AAA_2014J_877100,Other
281,877159,AAA,2014J,resource,,,AAA_2014J_877159,Content
282,877222,AAA,2014J,resource,,,AAA_2014J_877222,Content
283,877031,AAA,2014J,oucontent,,,AAA_2014J_877031,Other
284,877262,AAA,2014J,resource,,,AAA_2014J_877262,Content
285,877063,AAA,2014J,oucontent,,,AAA_2014J_877063,Other
286,1072237,AAA,2014J,url,,,AAA_2014J_1072237,Content
287,877096,AAA,2014J,oucontent,,,AAA_2014J_877096,Other
288,877156,AAA,2014J,resource,,,AAA_2014J_877156,Content
289,877219,AAA,2014J,resource,,,AAA_2014J_877219,Content
290,877028,AAA,2014J,glossary,,,AAA_2014J_877028,Other
291,877259,AAA,2014J,resource,,,AAA_2014J_877259,Content
292,877060,AAA,2014J,oucontent,,,AAA_2014J_877060,Other
293,1027118,AAA,2014J,url,,,AAA_2014J_1027118,Content
294,877093,AAA,2014J,oucontent,,,AAA_2014J_877093,Other
295,877153,AAA,2014J,resource,,,AAA_2014J_877153,Content
296,877216,AAA,2014J,resource,,,AAA_2014J_877216,Content
297,877023,AAA,2014J,forumng,,,AAA_2014J_877023,Discussion
298,877255,AAA,2014J,resource,,,AAA_2014J_877255,Content
299,877057,AAA,2014J,oucontent,,,AAA_2014J_877057,Other
300,877422,AAA,2014J,dataplus,,,AAA_2014J_877422,Other
301,877090,AAA,2014J,oucontent,,,AAA_2014J_877090,Other
302,877150,AAA,2014J,resource,,,AAA_2014J_877150,Content
303,877213,AAA,2014J,resource,,,AAA_2014J_877213,Content
304,877011,AAA,2014J,forumng,,,AAA_2014J_877011,Discussion
305,877252,AAA,2014J,resource,,,AAA_2014J_877252,Content
306,877054,AAA,2014J,oucontent,,,AAA_2014J_877054,Other
307,877404,AAA,2014J,url,,,AAA_2014J_877404,Content
308,877087,AAA,2014J,oucontent,,,AAA_2014J_877087,Other
309,877147,AAA,2014J,resource,,,AAA_2014J_877147,Content
310,877210,AAA,2014J,resource,,,AAA_2014J_877210,Content
311,877246,AAA,2014J,resource,,,AAA_2014J_877246,Content
312,877051,AAA,2014J,oucontent,,,AAA_2014J_877051,Other
313,877399,AAA,2014J,url,,,AAA_2014J_877399,Content
314,877084,AAA,2014J,oucontent,,,AAA_2014J_877084,Other
315,877144,AAA,2014J,resource,,,AAA_2014J_877144,Content
316,877207,AAA,2014J,resource,,,AAA_2014J_877207,Content
317,877243,AAA,2014J,resource,,,AAA_2014J_877243,Content
318,877048,AAA,2014J,oucontent,,,AAA_2014J_877048,Other
319,877396,AAA,2014J,url,,,AAA_2014J_877396,Content
320,877080,AAA,2014J,oucontent,,,AAA_2014J_877080,Other
321,877141,AAA,2014J,resource,,,AAA_2014J_877141,Content
322,877199,AAA,2014J,resource,,,AAA_2014J_877199,Content
323,877240,AAA,2014J,resource,,,AAA_2014J_877240,Content
324,877045,AAA,2014J,oucontent,1.0,1.0,AAA_2014J_877045,Other
325,877393,AAA,2014J,url,,,AAA_2014J_877393,Content
326,877077,AAA,2014J,oucontent,,,AAA_2014J_877077,Other
327,877196,AAA,2014J,resource,,,AAA_2014J_877196,Content
328,877236,AAA,2014J,resource,,,AAA_2014J_877236,Content
329,877042,AAA,2014J,oucontent,,,AAA_2014J_877042,Other
330,877386,AAA,2014J,url,,,AAA_2014J_877386,Content
331,877074,AAA,2014J,oucontent,,,AAA_2014J_877074,Other
332,877138,AAA,2014J,resource,,,AAA_2014J_877138,Content
333,877187,AAA,2014J,resource,,,AAA_2014J_877187,Content
334,877231,AAA,2014J,resource,,,AAA_2014J_877231,Content
335,877039,AAA,2014J,oucontent,,,AAA_2014J_877039,Other
336,877383,AAA,2014J,url,,,AAA_2014J_877383,Content
337,877071,AAA,2014J,oucontent,,,AAA_2014J_877071,Other
338,877134,AAA,2014J,subpage,,,AAA_2014J_877134,Content
339,877182,AAA,2014J,resource,,,AAA_2014J_877182,Content
340,877228,AAA,2014J,resource,,,AAA_2014J_877228,Content
341,877036,AAA,2014J,oucontent,,,AAA_2014J_877036,Other
342,877379,AAA,2014J,oucollaborate,,,AAA_2014J_877379,Other
343,877068,AAA,2014J,oucontent,,,AAA_2014J_877068,Other
344,877129,AAA,2014J,subpage,,,AAA_2014J_877129,Content
345,877168,AAA,2014J,resource,,,AAA_2014J_877168,Content
346,877224,AAA,2014J,resource,,,AAA_2014J_877224,Content
347,877033,AAA,2014J,oucontent,,,AAA_2014J_877033,Other
348,877264,AAA,2014J,resource,,,AAA_2014J_877264,Content
349,877065,AAA,2014J,oucontent,,,AAA_2014J_877065,Other
350,877099,AAA,2014J,oucontent,,,AAA_2014J_877099,Other
351,877158,AAA,2014J,resource,,,AAA_2014J_877158,Content
352,877221,AAA,2014J,resource,,,AAA_2014J_877221,Content
353,877030,AAA,2014J,homepage,,,AAA_2014J_877030,Content
354,877261,AAA,2014J,resource,,,AAA_2014J_877261,Content
355,877062,AAA,2014J,oucontent,,,AAA_2014J_877062,Other
356,1072236,AAA,2014J,resource,,,AAA_2014J_1072236,Content
357,877095,AAA,2014J,oucontent,,,AAA_2014J_877095,Other
358,877155,AAA,2014J,resource,,,AAA_2014J_877155,Content
359,877218,AAA,2014J,resource,,,AAA_2014J_877218,Content
360,877026,AAA,2014J,forumng,,,AAA_2014J_877026,Discussion
361,877258,AAA,2014J,resource,,,AAA_2014J_877258,Content
362,877059,AAA,2014J,oucontent,,,AAA_2014J_877059,Other
363,1010323,AAA,2014J,resource,,,AAA_2014J_1010323,Content
364,877092,AAA,2014J,oucontent,,,AAA_2014J_877092,Other
365,877152,AAA,2014J,resource,,,AAA_2014J_877152,Content
366,877215,AAA,2014J,resource,,,AAA_2014J_877215,Content
367,877015,AAA,2014J,forumng,,,AAA_2014J_877015,Discussion
368,877254,AAA,2014J,resource,,,AAA_2014J_877254,Content
369,877056,AAA,2014J,oucontent,,,AAA_2014J_877056,Other
370,877421,AAA,2014J,dataplus,,,AAA_2014J_877421,Other
371,877089,AAA,2014J,oucontent,,,AAA_2014J_877089,Other
372,877149,AAA,2014J,resource,,,AAA_2014J_877149,Content
373,877212,AAA,2014J,resource,,,AAA_2014J_877212,Content
374,877248,AAA,2014J,resource,,,AAA_2014J_877248,Content
375,877053,AAA,2014J,oucontent,,,AAA_2014J_877053,Other
376,877403,AAA,2014J,url,,,AAA_2014J_877403,Content
377,877086,AAA,2014J,oucontent,,,AAA_2014J_877086,Other
378,877146,AAA,2014J,resource,,,AAA_2014J_877146,Content
379,877209,AAA,2014J,resource,,,AAA_2014J_877209,Content
380,877245,AAA,2014J,resource,,,AAA_2014J_877245,Content
381,877050,AAA,2014J,oucontent,,,AAA_2014J_877050,Other
382,877398,AAA,2014J,url,,,AAA_2014J_877398,Content
383,877082,AAA,2014J,oucontent,,,AAA_2014J_877082,Other
384,877143,AAA,2014J,resource,,,AAA_2014J_877143,Content
385,877206,AAA,2014J,resource,,,AAA_2014J_877206,Content
386,877242,AAA,2014J,resource,,,AAA_2014J_877242,Content
387,877047,AAA,2014J,oucontent,,,AAA_2014J_877047,Other
388,877395,AAA,2014J,url,,,AAA_2014J_877395,Content
389,877079,AAA,2014J,oucontent,,,AAA_2014J_877079,Other
390,877198,AAA,2014J,resource,,,AAA_2014J_877198,Content
391,877238,AAA,2014J,resource,,,AAA_2014J_877238,Content
392,877044,AAA,2014J,oucontent,1.0,1.0,AAA_2014J_877044,Other
393,877392,AAA,2014J,url,,,AAA_2014J_877392,Content
394,877076,AAA,2014J,oucontent,,,AAA_2014J_877076,Other
395,877140,AAA,2014J,resource,,,AAA_2014J_877140,Content
396,877195,AAA,2014J,resource,,,AAA_2014J_877195,Content
397,877234,AAA,2014J,resource,,,AAA_2014J_877234,Content
398,877041,AAA,2014J,oucontent,,,AAA_2014J_877041,Other
399,877385,AAA,2014J,url,,,AAA_2014J_877385,Content
400,877073,AAA,2014J,oucontent,,,AAA_2014J_877073,Other
401,877137,AAA,2014J,resource,,,AAA_2014J_877137,Content
402,877186,AAA,2014J,resource,,,AAA_2014J_877186,Content
403,877230,AAA,2014J,resource,,,AAA_2014J_877230,Content
404,877038,AAA,2014J,oucontent,,,AAA_2014J_877038,Other
405,877381,AAA,2014J,url,,,AAA_2014J_877381,Content
406,877070,AAA,2014J,oucontent,,,AAA_2014J_877070,Other
407,877133,AAA,2014J,subpage,,,AAA_2014J_877133,Content
408,877180,AAA,2014J,resource,,,AAA_2014J_877180,Content
409,877227,AAA,2014J,resource,,,AAA_2014J_877227,Content
410,877035,AAA,2014J,oucontent,,,AAA_2014J_877035,Other
411,877266,AAA,2014J,resource,,,AAA_2014J_877266,Content
412,877067,AAA,2014J,oucontent,,,AAA_2014J_877067,Other
413,877128,AAA,2014J,subpage,,,AAA_2014J_877128,Content
414,543306,BBB,2013B,resource,,,BBB_2013B_543306,Content
415,542803,BBB,2013B,forumng,,,BBB_2013B_542803,Discussion
416,543170,BBB,2013B,resource,,,BBB_2013B_543170,Content
417,543040,BBB,2013B,subpage,,,BBB_2013B_543040,Content
418,543202,BBB,2013B,resource,,,BBB_2013B_543202,Content
419,543074,BBB,2013B,subpage,,,BBB_2013B_543074,Content
420,543236,BBB,2013B,resource,,,BBB_2013B_543236,Content
421,543106,BBB,2013B,resource,,,BBB_2013B_543106,Content
422,543274,BBB,2013B,resource,,,BBB_2013B_543274,Content
