StudentSK,CourseSK,studied_credits,num_of_prev_attempts,date_registration,date_unregistration,final_result,final_result_code,is_completed,is_distinction,is_withdrawn
56,1,60,0,-174.0,158.0,Withdrawn,1,0,0,1
57,1,150,0,-44.0,,Pass,3,1,0,0
58,1,420,0,-16.0,,Pass,3,1,0,0
59,1,60,0,-54.0,,Pass,3,1,0,0
60,1,60,0,-64.0,191.0,Withdrawn,1,0,0,1
61,1,60,0,-52.0,,Pass,3,1,0,0
62,1,60,0,-46.0,123.0,Withdrawn,1,0,0,1
63,1,60,0,-64.0,,Pass,3,1,0,0
64,1,60,0,-117.0,,Pass,3,1,0,0
65,1,60,0,-32.0,,Pass,3,1,0,0
66,1,60,0,-50.0,,Pass,3,1,0,0
67,1,60,0,-45.0,,Pass,3,1,0,0
68,1,60,0,-162.0,,Pass,3,1,0,0
69,1,60,0,-195.0,,Pass,3,1,0,0
70,1,60,0,-92.0,,Pass,3,1,0,0
71,1,180,0,-57.0,,Fail,2,0,0,0
72,1,120,0,-64.0,,Pass,3,1,0,0
73,1,120,0,-39.0,60.0,Withdrawn,1,0,0,1
74,1,60,0,-128.0,,Pass,3,1,0,0
75,1,180,0,-32.0,,Pass,3,1,0,0
76,1,170,0,-74.0,,Pass,3,1,0,0
77,1,120,0,-12.0,,Fail,2,0,0,0
78,1,60,0,-109.0,,Pass,3,1,0,0
79,1,60,0,-136.0,,Distinction,4,1,1,0
80,1,120,0,-57.0,60.0,Withdrawn,1,0,0,1
81,1,120,0,-180.0,,Pass,3,1,0,0
82,1,60,0,-62.0,,Pass,3,1,0,0
83,1,60,0,-45.0,185.0,Withdrawn,1,0,0,1
84,1,60,0,-54.0,,Pass,3,1,0,0
85,1,60,0,-73.0,166.0,Withdrawn,1,0,0,1
86,1,60,0,-68.0,,Pass,3,1,0,0
87,1,90,0,-51.0,,Fail,2,0,0,0
88,1,60,0,-169.0,,Distinction,4,1,1,0
89,1,180,0,-172.0,,Fail,2,0,0,0
90,1,60,0,-31.0,,Pass,3,1,0,0
91,1,60,0,-108.0,,Pass,3,1,0,0
92,1,60,0,-165.0,,Pass,3,1,0,0
93,1,60,0,-58.0,,Pass,3,1,0,0
94,1,240,0,-29.0,,Pass,3,1,0,0
95,1,240,0,-79.0,109.0,Withdrawn,1,0,0,1
96,1,60,0,2.0,,Pass,3,1,0,0
97,1,60,0,-151.0,,Pass,3,1,0,0
98,1,80,0,-45.0,,Pass,3,1,0,0
99,1,120,0,-47.0,,Pass,3,1,0,0
100,1,60,0,-50.0,,Pass,3,1,0,0
101,1,60,0,-31.0,,Fail,2,0,0,0
102,1,60,0,-36.0,,Pass,3,1,0,0
103,1,60,0,-16.0,,Pass,3,1,0,0
104,1,90,0,-198.0,,Pass,3,1,0,0
105,1,60,0,-103.0,,Pass,3,1,0,0
106,1,120,0,-117.0,,Pass,3,1,0,0
107,1,60,0,-68.0,,Pass,3,1,0,0
108,1,60,0,-172.0,,Pass,3,1,0,0
109,1,60,0,-186.0,170.0,Withdrawn,1,0,0,1
110,1,60,0,-145.0,,Pass,3,1,0,0
111,1,60,0,-191.0,,Pass,3,1,0,0
112,1,90,0,-33.0,,Fail,2,0,0,0
113,1,180,0,-17.0,187.0,Withdrawn,1,0,0,1
114,1,60,0,-68.0,,Pass,3,1,0,0
115,1,60,0,-108.0,177.0,Withdrawn,1,0,0,1
116,1,60,0,-138.0,,Distinction,4,1,1,0
117,1,150,0,-74.0,,Pass,3,1,0,0
118,1,60,0,-64.0,,Fail,2,0,0,0
119,1,60,0,-50.0,,Fail,2,0,0,0
120,1,60,0,-107.0,,Pass,3,1,0,0
121,1,60,0,-8.0,,Pass,3,1,0,0
122,1,120,0,-52.0,,Pass,3,1,0,0
123,1,60,0,-96.0,,Pass,3,1,0,0
124,1,60,0,-141.0,,Pass,3,1,0,0
125,1,60,0,-132.0,,Distinction,4,1,1,0
126,1,180,0,-162.0,-121.0,Withdrawn,1,0,0,1
127,1,120,0,-27.0,,Pass,3,1,0,0
128,1,60,0,-80.0,,Pass,3,1,0,0
129,1,60,0,-145.0,,Pass,3,1,0,0
130,1,240,0,-17.0,,Fail,2,0,0,0
131,1,60,0,-115.0,,Distinction,4,1,1,0
132,1,60,0,-32.0,,Pass,3,1,0,0
133,1,60,0,-59.0,,Pass,3,1,0,0
134,1,60,0,-83.0,,Fail,2,0,0,0
135,1,60,0,-18.0,,Fail,2,0,0,0
136,1,120,0,-66.0,,Pass,3,1,0,0
137,1,120,0,-54.0,-3.0,Withdrawn,1,0,0,1
138,1,120,0,-107.0,,Pass,3,1,0,0
139,1,60,0,-58.0,,Pass,3,1,0,0
140,1,60,0,-123.0,,Pass,3,1,0,0
141,1,60,0,-31.0,,Pass,3,1,0,0
142,1,60,0,-107.0,,Pass,3,1,0,0
143,1,120,0,-121.0,,Pass,3,1,0,0
144,1,60,0,-79.0,,Distinction,4,1,1,0
145,1,60,0,-59.0,,Pass,3,1,0,0
146,1,120,0,-100.0,,Pass,3,1,0,0
147,1,60,0,-47.0,,Pass,3,1,0,0
148,1,60,0,-67.0,,Pass,3,1,0,0
149,1,60,0,-32.0,,Pass,3,1,0,0
150,1,60,0,-165.0,,Pass,3,1,0,0
151,1,120,0,-32.0,,Pass,3,1,0,0
152,1,60,0,-67.0,53.0,Withdrawn,1,0,0,1
153,1,60,0,-64.0,,Pass,3,1,0,0
154,1,120,0,-103.0,,Pass,3,1,0,0
155,1,60,0,-53.0,,Pass,3,1,0,0
156,1,150,0,-32.0,,Fail,2,0,0,0
157,1,240,0,-192.0,65.0,Withdrawn,1,0,0,1
158,1,60,0,-196.0,160.0,Withdrawn,1,0,0,1
159,1,120,0,-110.0,,Pass,3,1,0,0
160,1,60,0,-57.0,,Pass,3,1,0,0
161,1,180,0,48.0,,Fail,2,0,0,0
162,1,60,0,-71.0,51.0,Withdrawn,1,0,0,1
163,1,60,0,-81.0,,Pass,3,1,0,0
164,1,60,0,-60.0,,Pass,3,1,0,0
165,1,120,0,-49.0,,Pass,3,1,0,0
166,1,60,0,-12.0,,Fail,2,0,0,0
167,1,180,0,-37.0,,Pass,3,1,0,0
168,1,60,0,-18.0,,Distinction,4,1,1,0
169,1,120,0,-75.0,,Pass,3,1,0,0
170,1,120,0,-44.0,,Fail,2,0,0,0
171,1,60,0,-49.0,,Pass,3,1,0,0
172,1,120,0,-32.0,5.0,Withdrawn,1,0,0,1
173,1,60,0,-38.0,,Fail,2,0,0,0
174,1,60,0,-129.0,,Fail,2,0,0,0
175,1,120,0,-38.0,,Pass,3,1,0,0
176,1,60,0,-52.0,,Pass,3,1,0,0
177,1,60,0,-4.0,,Pass,3,1,0,0
178,1,120,0,-123.0,,Pass,3,1,0,0
179,1,120,0,-60.0,,Fail,2,0,0,0
180,1,180,0,-19.0,,Pass,3,1,0,0
181,1,60,0,-87.0,,Distinction,4,1,1,0
182,1,60,0,-64.0,,Pass,3,1,0,0
183,1,60,0,-155.0,,Pass,3,1,0,0
184,1,120,0,-61.0,,Pass,3,1,0,0
185,1,120,0,-192.0,,Pass,3,1,0,0
186,1,120,0,-38.0,,Pass,3,1,0,0
187,1,60,0,-179.0,,Pass,3,1,0,0
188,1,60,0,-185.0,,Pass,3,1,0,0
189,1,90,0,-31.0,202.0,Withdrawn,1,0,0,1
190,1,120,0,-58.0,,Fail,2,0,0,0
191,1,120,0,-54.0,,Pass,3,1,0,0
192,1,60,0,-38.0,,Pass,3,1,0,0
193,1,180,0,-23.0,,Pass,3,1,0,0
194,1,240,0,-57.0,,Fail,2,0,0,0
195,1,60,0,-53.0,,Pass,3,1,0,0
196,1,60,0,-130.0,,Pass,3,1,0,0
197,1,120,0,-129.0,,Pass,3,1,0,0
198,1,120,0,-67.0,,Pass,3,1,0,0
199,1,240,0,-170.0,-100.0,Withdrawn,1,0,0,1
200,1,120,0,-73.0,,Pass,3,1,0,0
201,1,90,0,-60.0,172.0,Withdrawn,1,0,0,1
202,1,60,0,-15.0,,Fail,2,0,0,0
203,1,60,0,-58.0,,Pass,3,1,0,0
204,1,150,0,-52.0,,Pass,3,1,0,0
205,1,120,0,-53.0,,Pass,3,1,0,0
206,1,120,0,-32.0,119.0,Withdrawn,1,0,0,1
207,1,60,0,-38.0,,Distinction,4,1,1,0
208,1,60,0,-43.0,73.0,Withdrawn,1,0,0,1
209,1,60,0,-120.0,,Pass,3,1,0,0
210,1,60,0,-38.0,,Fail,2,0,0,0
211,1,120,0,-29.0,,Pass,3,1,0,0
212,1,60,0,-16.0,,Pass,3,1,0,0
213,1,120,0,-156.0,,Pass,3,1,0,0
214,1,120,0,-32.0,,Pass,3,1,0,0
215,1,120,0,-127.0,,Pass,3,1,0,0
216,1,60,0,-51.0,,Pass,3,1,0,0
217,1,120,0,-43.0,,Fail,2,0,0,0
218,1,60,0,-30.0,128.0,Withdrawn,1,0,0,1
219,1,120,0,-158.0,,Pass,3,1,0,0
220,1,120,0,-22.0,,Pass,3,1,0,0
221,1,120,0,-38.0,,Fail,2,0,0,0
222,1,120,0,-17.0,,Pass,3,1,0,0
223,1,60,0,-46.0,,Pass,3,1,0,0
224,1,60,0,-38.0,241.0,Withdrawn,1,0,0,1
225,1,60,0,-43.0,,Fail,2,0,0,0
226,1,120,0,-29.0,,Pass,3,1,0,0
227,1,120,0,-57.0,,Distinction,4,1,1,0
228,1,120,0,-73.0,23.0,Withdrawn,1,0,0,1
229,1,60,0,-138.0,,Pass,3,1,0,0
230,1,60,0,-67.0,,Distinction,4,1,1,0
231,1,60,0,-91.0,,Pass,3,1,0,0
232,1,60,0,-59.0,,Pass,3,1,0,0
233,1,60,0,-67.0,,Pass,3,1,0,0
234,1,60,0,-170.0,,Pass,3,1,0,0
235,1,180,0,-42.0,173.0,Withdrawn,1,0,0,1
236,1,60,0,-62.0,,Pass,3,1,0,0
237,1,60,0,-108.0,,Pass,3,1,0,0
238,1,60,0,-87.0,,Pass,3,1,0,0
239,1,60,0,-144.0,,Pass,3,1,0,0
240,1,60,0,-63.0,203.0,Withdrawn,1,0,0,1
241,1,60,0,-35.0,,Fail,2,0,0,0
242,1,60,0,-195.0,,Pass,3,1,0,0
243,1,120,0,-169.0,,Fail,2,0,0,0
244,1,60,0,-87.0,27.0,Withdrawn,1,0,0,1
245,1,120,0,-38.0,,Pass,3,1,0,0
246,1,60,0,20.0,,Fail,2,0,0,0
247,1,60,0,-30.0,,Pass,3,1,0,0
248,1,60,0,-102.0,,Pass,3,1,0,0
249,1,60,0,-95.0,,Pass,3,1,0,0
250,1,60,0,-95.0,,Fail,2,0,0,0
251,1,60,0,-195.0,,Distinction,4,1,1,0
252,1,60,0,-191.0,,Pass,3,1,0,0
253,1,60,0,-124.0,37.0,Withdrawn,1,0,0,1
254,1,60,0,-106.0,,Pass,3,1,0,0
255,1,60,0,-30.0,,Pass,3,1,0,0
256,1,75,0,-198.0,103.0,Withdrawn,1,0,0,1
257,1,60,0,-58.0,-2.0,Withdrawn,1,0,0,1
258,1,60,0,-43.0,,Pass,3,1,0,0
259,1,60,0,-106.0,,Pass,3,1,0,0
260,1,60,0,-32.0,,Pass,3,1,0,0
261,1,60,0,-164.0,,Pass,3,1,0,0
262,1,300,0,-53.0,,Pass,3,1,0,0
263,1,60,0,-42.0,,Pass,3,1,0,0
264,1,60,0,-81.0,,Pass,3,1,0,0
265,1,60,0,-57.0,,Pass,3,1,0,0
266,1,60,0,-102.0,,Pass,3,1,0,0
267,1,120,0,-29.0,,Pass,3,1,0,0
268,1,60,0,-108.0,240.0,Withdrawn,1,0,0,1
269,1,120,0,-195.0,,Pass,3,1,0,0
270,1,60,0,-32.0,,Pass,3,1,0,0
271,1,60,0,-102.0,,Pass,3,1,0,0
272,1,60,0,-137.0,,Pass,3,1,0,0
273,1,60,0,-74.0,,Fail,2,0,0,0
274,1,330,0,-16.0,138.0,Withdrawn,1,0,0,1
275,1,60,0,-65.0,173.0,Withdrawn,1,0,0,1
276,1,60,0,-123.0,,Pass,3,1,0,0
277,1,120,0,-45.0,,Pass,3,1,0,0
278,1,60,0,-148.0,,Fail,2,0,0,0
279,1,60,0,-65.0,,Pass,3,1,0,0
280,1,60,0,-35.0,,Distinction,4,1,1,0
281,1,120,0,-59.0,163.0,Withdrawn,1,0,0,1
282,1,60,0,-46.0,,Pass,3,1,0,0
283,1,60,0,-59.0,,Pass,3,1,0,0
284,1,60,0,-36.0,10.0,Withdrawn,1,0,0,1
285,1,60,0,-49.0,,Pass,3,1,0,0
286,1,60,0,-32.0,,Pass,3,1,0,0
287,1,120,0,-43.0,,Fail,2,0,0,0
288,1,60,0,-50.0,,Pass,3,1,0,0
289,1,60,0,-113.0,,Pass,3,1,0,0
290,1,60,0,-108.0,,Pass,3,1,0,0
291,1,60,0,-35.0,,Pass,3,1,0,0
292,1,60,0,-66.0,,Pass,3,1,0,0
293,1,60,0,-116.0,,Pass,3,1,0,0
294,1,120,0,-28.0,175.0,Withdrawn,1,0,0,1
295,1,60,0,-74.0,,Pass,3,1,0,0
296,1,60,0,-129.0,,Pass,3,1,0,0
297,1,150,0,-85.0,,Pass,3,1,0,0
298,1,60,0,-45.0,178.0,Withdrawn,1,0,0,1
299,1,60,0,-56.0,-19.0,Withdrawn,1,0,0,1
300,1,60,0,-101.0,-50.0,Withdrawn,1,0,0,1
301,1,120,0,-56.0,,Pass,3,1,0,0
302,1,60,0,-57.0,,Distinction,4,1,1,0
303,1,60,0,-38.0,,Fail,2,0,0,0
304,1,60,0,-24.0,,Fail,2,0,0,0
305,1,60,0,-102.0,,Fail,2,0,0,0
306,1,180,0,-53.0,58.0,Withdrawn,1,0,0,1
307,1,60,0,-80.0,,Pass,3,1,0,0
308,1,300,0,-129.0,-80.0,Withdrawn,1,0,0,1
309,1,120,0,-22.0,,Pass,3,1,0,0
310,1,60,0,-94.0,,Pass,3,1,0,0
311,1,120,0,-185.0,,Pass,3,1,0,0
312,1,60,0,-101.0,242.0,Withdrawn,1,0,0,1
313,1,120,0,-17.0,,Fail,2,0,0,0
314,1,120,0,-35.0,220.0,Withdrawn,1,0,0,1
315,1,90,0,-38.0,,Distinction,4,1,1,0
316,1,60,0,-73.0,,Pass,3,1,0,0
317,1,120,0,-52.0,114.0,Withdrawn,1,0,0,1
318,1,60,0,-53.0,,Pass,3,1,0,0
319,1,60,0,-32.0,,Pass,3,1,0,0
320,1,120,0,-71.0,,Fail,2,0,0,0
321,1,180,0,-50.0,,Pass,3,1,0,0
322,1,60,0,-81.0,,Pass,3,1,0,0
323,1,60,0,-52.0,,Pass,3,1,0,0
324,1,60,0,-11.0,,Fail,2,0,0,0
325,1,60,0,-22.0,,Fail,2,0,0,0
326,1,60,0,-106.0,219.0,Withdrawn,1,0,0,1
327,1,60,0,-46.0,,Pass,3,1,0,0
328,1,60,0,-195.0,,Pass,3,1,0,0
329,1,120,0,-59.0,,Pass,3,1,0,0
330,1,120,0,-144.0,,Pass,3,1,0,0
331,1,240,0,-43.0,,Pass,3,1,0,0
332,1,60,0,-65.0,,Pass,3,1,0,0
333,1,60,0,-105.0,,Pass,3,1,0,0
334,1,60,0,-158.0,,Pass,3,1,0,0
335,1,120,0,-46.0,,Pass,3,1,0,0
336,1,60,0,-67.0,,Pass,3,1,0,0
337,1,60,0,-65.0,,Pass,3,1,0,0
338,1,60,0,-87.0,,Distinction,4,1,1,0
339,1,60,0,-59.0,13.0,Withdrawn,1,0,0,1
340,1,60,0,-153.0,,Pass,3,1,0,0
341,1,60,0,-94.0,,Pass,3,1,0,0
342,1,120,0,-38.0,199.0,Withdrawn,1,0,0,1
343,1,60,0,-67.0,,Pass,3,1,0,0
344,1,60,0,-80.0,,Pass,3,1,0,0
345,1,60,0,-31.0,,Pass,3,1,0,0
346,1,60,0,-30.0,,Pass,3,1,0,0
347,1,60,0,-91.0,,Pass,3,1,0,0
348,1,60,0,-35.0,,Pass,3,1,0,0
349,1,120,0,-81.0,93.0,Withdrawn,1,0,0,1
350,1,60,0,-16.0,,Pass,3,1,0,0
351,1,60,0,-63.0,,Pass,3,1,0,0
352,1,60,0,-137.0,39.0,Withdrawn,1,0,0,1
353,1,60,0,-62.0,,Pass,3,1,0,0
354,1,60,0,-94.0,,Pass,3,1,0,0
355,1,60,0,-74.0,,Pass,3,1,0,0
356,1,60,0,-128.0,,Pass,3,1,0,0
357,1,120,0,-106.0,,Pass,3,1,0,0
358,1,60,0,-165.0,,Pass,3,1,0,0
359,1,60,0,-102.0,,Pass,3,1,0,0
360,1,60,0,-63.0,,Pass,3,1,0,0
361,1,60,0,-46.0,,Pass,3,1,0,0
362,1,60,0,-109.0,,Fail,2,0,0,0
363,1,120,0,-127.0,,Pass,3,1,0,0
364,1,60,0,-38.0,,Pass,3,1,0,0
365,1,120,0,-48.0,,Pass,3,1,0,0
366,1,60,0,-71.0,,Pass,3,1,0,0
367,1,60,0,-52.0,,Pass,3,1,0,0
368,1,180,0,-100.0,,Pass,3,1,0,0
369,1,60,0,-144.0,,Distinction,4,1,1,0
370,1,60,0,-29.0,,Pass,3,1,0,0
371,1,60,0,-31.0,,Pass,3,1,0,0
372,1,60,0,-43.0,,Pass,3,1,0,0
373,1,60,0,-58.0,,Fail,2,0,0,0
374,1,60,0,-38.0,,Pass,3,1,0,0
375,1,150,0,-31.0,,Fail,2,0,0,0
376,1,60,0,-25.0,,Pass,3,1,0,0
377,1,60,0,-101.0,,Pass,3,1,0,0
378,1,60,0,-31.0,,Pass,3,1,0,0
379,1,60,0,-71.0,,Distinction,4,1,1,0
380,1,60,0,-109.0,,Distinction,4,1,1,0
381,1,180,0,-87.0,,Pass,3,1,0,0
382,1,120,0,-170.0,,Pass,3,1,0,0
383,1,120,0,-58.0,,Pass,3,1,0,0
384,2,60,0,-52.0,,Pass,3,1,0,0
385,2,60,0,-18.0,,Pass,3,1,0,0
386,2,60,0,-38.0,,Distinction,4,1,1,0
387,2,60,0,-130.0,,Pass,3,1,0,0
388,2,60,0,-52.0,,Pass,3,1,0,0
389,2,60,0,-74.0,,Pass,3,1,0,0
390,2,120,0,-22.0,,Pass,3,1,0,0
391,2,60,0,-87.0,,Pass,3,1,0,0
392,2,60,0,-72.0,,Pass,3,1,0,0
393,2,120,0,-80.0,,Pass,3,1,0,0
394,2,60,0,-50.0,,Pass,3,1,0,0
395,2,60,0,-82.0,,Pass,3,1,0,0
16,2,60,1,-144.0,,Fail,2,0,0,0
396,2,60,0,-78.0,,Pass,3,1,0,0
397,2,120,0,-58.0,,Pass,3,1,0,0
398,2,60,0,-23.0,164.0,Withdrawn,1,0,0,1
399,2,60,0,-52.0,,Pass,3,1,0,0
400,2,60,0,-41.0,,Pass,3,1,0,0
401,2,60,0,-72.0,,Pass,3,1,0,0
402,2,60,0,-106.0,235.0,Withdrawn,1,0,0,1
23,2,60,1,-150.0,,Pass,3,1,0,0
403,2,60,0,-80.0,241.0,Withdrawn,1,0,0,1
404,2,60,0,-80.0,,Pass,3,1,0,0
405,2,60,0,-81.0,,Pass,3,1,0,0
406,2,60,0,-80.0,,Pass,3,1,0,0
407,2,60,0,-80.0,,Pass,3,1,0,0
408,2,60,0,-16.0,,Fail,2,0,0,0
409,2,60,0,-92.0,,Pass,3,1,0,0
410,2,60,0,-31.0,207.0,Withdrawn,1,0,0,1
411,2,60,1,-28.0,,Pass,3,1,0,0
412,2,120,0,-44.0,,Distinction,4,1,1,0
413,2,60,0,-36.0,,Pass,3,1,0,0
42,2,60,1,-143.0,143.0,Withdrawn,1,0,0,1
414,2,60,0,-82.0,,Pass,3,1,0,0
415,2,60,0,-25.0,,Pass,3,1,0,0
416,2,60,0,-68.0,,Pass,3,1,0,0
417,2,60,0,-115.0,,Pass,3,1,0,0
418,2,60,0,-15.0,,Pass,3,1,0,0
419,2,60,0,-110.0,,Pass,3,1,0,0
45,2,120,1,-82.0,24.0,Withdrawn,1,0,0,1
46,2,60,1,-51.0,,Pass,3,1,0,0
420,2,60,0,-149.0,,Distinction,4,1,1,0
421,2,60,0,-46.0,,Fail,2,0,0,0
49,2,210,1,-127.0,,Pass,3,1,0,0
422,2,60,0,-28.0,,Fail,2,0,0,0
423,2,120,0,-30.0,,Pass,3,1,0,0
54,2,120,1,-41.0,,Pass,3,1,0,0
56,2,60,1,-154.0,,Pass,3,1,0,0
424,2,60,0,-74.0,,Pass,3,1,0,0
425,2,60,0,-92.0,,Pass,3,1,0,0
426,2,120,0,-129.0,234.0,Withdrawn,1,0,0,1
427,2,60,0,-72.0,104.0,Withdrawn,1,0,0,1
60,2,120,1,-156.0,,Pass,3,1,0,0
428,2,60,0,-57.0,172.0,Withdrawn,1,0,0,1
62,2,60,1,-24.0,201.0,Withdrawn,1,0,0,1
429,2,60,0,-148.0,,Pass,3,1,0,0
430,2,60,0,-22.0,,Fail,2,0,0,0
431,2,60,0,-44.0,,Pass,3,1,0,0
432,2,60,0,-85.0,,Pass,3,1,0,0
433,2,60,0,-89.0,,Pass,3,1,0,0
434,2,60,0,-30.0,,Pass,3,1,0,0
435,2,60,0,-115.0,,Pass,3,1,0,0
436,2,270,0,-45.0,67.0,Withdrawn,1,0,0,1
437,2,60,0,-23.0,,Pass,3,1,0,0
438,2,60,0,-22.0,,Fail,2,0,0,0
80,2,60,1,-64.0,,Pass,3,1,0,0
439,2,60,0,-30.0,,Pass,3,1,0,0
440,2,60,0,3.0,,Pass,3,1,0,0
441,2,60,0,-80.0,,Pass,3,1,0,0
442,2,60,0,-45.0,,Pass,3,1,0,0
443,2,60,0,-68.0,,Distinction,4,1,1,0
444,2,60,0,-21.0,,Pass,3,1,0,0
445,2,60,0,-107.0,,Pass,3,1,0,0
446,2,60,0,-156.0,,Pass,3,1,0,0
95,2,180,1,-135.0,,Pass,3,1,0,0
447,2,60,0,-20.0,,Pass,3,1,0,0
448,2,60,0,-155.0,,Pass,3,1,0,0
449,2,60,0,-16.0,,Fail,2,0,0,0
450,2,60,0,-137.0,,Pass,3,1,0,0
451,2,60,0,-61.0,,Distinction,4,1,1,0
452,2,120,0,-5.0,,Pass,3,1,0,0
453,2,60,0,-50.0,,Distinction,4,1,1,0
454,2,60,0,-109.0,,Distinction,4,1,1,0
109,2,120,1,-156.0,-87.0,Withdrawn,1,0,0,1
455,2,60,0,-28.0,,Pass,3,1,0,0
456,2,60,0,-73.0,,Pass,3,1,0,0
457,2,60,0,-56.0,,Pass,3,1,0,0
458,2,60,0,-38.0,,Distinction,4,1,1,0
459,2,240,0,-134.0,,Pass,3,1,0,0
113,2,120,1,-10.0,,Fail,2,0,0,0
460,2,60,0,-155.0,,Pass,3,1,0,0
461,2,120,0,-43.0,229.0,Withdrawn,1,0,0,1
462,2,60,0,-155.0,132.0,Withdrawn,1,0,0,1
463,2,60,0,-37.0,,Pass,3,1,0,0
464,2,60,0,-20.0,,Fail,2,0,0,0
115,2,120,1,-11.0,158.0,Withdrawn,1,0,0,1
465,2,60,0,-103.0,,Pass,3,1,0,0
466,2,60,0,-73.0,,Pass,3,1,0,0
467,2,60,0,-36.0,,Pass,3,1,0,0
468,2,90,0,-155.0,,Pass,3,1,0,0
469,2,60,0,-79.0,,Pass,3,1,0,0
470,2,60,0,-156.0,,Pass,3,1,0,0
471,2,120,0,-10.0,,Fail,2,0,0,0
472,2,60,0,-122.0,,Pass,3,1,0,0
473,2,60,0,-88.0,,Pass,3,1,0,0
474,2,60,0,-52.0,,Pass,3,1,0,0
475,2,60,0,-35.0,,Pass,3,1,0,0
476,2,60,0,-50.0,,Pass,3,1,0,0
477,2,60,0,-147.0,,Pass,3,1,0,0
478,2,60,0,-49.0,,Fail,2,0,0,0
479,2,60,0,-66.0,,Fail,2,0,0,0
480,2,60,0,-114.0,,Pass,3,1,0,0
481,2,60,0,-84.0,,Pass,3,1,0,0
482,2,120,0,-49.0,,Fail,2,0,0,0
483,2,60,0,-66.0,,Pass,3,1,0,0
484,2,60,0,-35.0,,Pass,3,1,0,0
485,2,60,0,-156.0,,Distinction,4,1,1,0
486,2,60,0,-108.0,,Pass,3,1,0,0
487,2,60,1,-24.0,,Pass,3,1,0,0
488,2,60,0,-135.0,,Pass,3,1,0,0
489,2,60,0,-22.0,,Pass,3,1,0,0
490,2,60,0,-38.0,,Pass,3,1,0,0
491,2,60,0,-81.0,,Pass,3,1,0,0
492,2,60,0,-123.0,,Pass,3,1,0,0
493,2,120,0,2.0,,Fail,2,0,0,0
494,2,60,0,-32.0,,Pass,3,1,0,0
495,2,60,0,-22.0,,Pass,3,1,0,0
496,2,60,0,-53.0,,Distinction,4,1,1,0
497,2,120,0,-53.0,,Pass,3,1,0,0
498,2,180,0,-144.0,-101.0,Withdrawn,1,0,0,1
499,2,60,0,-45.0,,Pass,3,1,0,0
